Rank,Team,S,W-L,Assists,Per Set
98,UIC (Horizon),116,20-11,"1,404",12.10
99,East Carolina (AAC),113,19-11,"1,367",12.10
100,Tulsa (AAC),115,15-15,"1,386",12.05
101,Robert Morris (NEC),107,25-5,"1,289",12.05
102,North Texas (C-USA),109,17-11,"1,312",12.04
103,Purdue (Big Ten),111,22-7,"1,336",12.04
103,Dayton (Atlantic 10),111,22-8,"1,336",12.04
105,Marist (MAAC),115,15-15,"1,384",12.03
106,Saint Louis (Atlantic 10),112,17-12,"1,347",12.03
107,Texas St. (Sun Belt),114,24-8,"1,371",12.03
108,Oakland (Horizon),108,15-14,"1,298",12.02
109,Navy (Patriot),111,17-12,"1,333",12.01
110,West Virginia (Big 12),108,12-17,"1,295",11.99
111,Delaware (CAA),104,15-14,"1,247",11.99
112,High Point (Big South),114,20-12,"1,366",11.98
113,Purdue Fort Wayne (Summit League),124,18-14,"1,485",11.98
114,Nevada (Mountain West),114,17-13,"1,364",11.96
115,Pacific (WCC),120,13-17,"1,435",11.96
116,Syracuse (ACC),91,11-13,"1,088",11.96
117,Bradley (MVC),119,15-15,"1,422",11.95
118,Central Conn. St. (NEC),117,15-15,"1,398",11.95
119,San Jose St. (Mountain West),107,10-19,"1,277",11.93
120,South Carolina (SEC),106,19-11,"1,265",11.93
121,Yale (Ivy League),83,15-8,990,11.93
122,BYU (WCC),106,25-4,"1,264",11.92
123,Denver (Summit League),114,23-8,"1,359",11.92
124,Tulane (AAC),123,21-10,"1,466",11.92
125,American (Patriot),115,24-7,"1,369",11.90
126,Oklahoma (Big 12),108,19-8,"1,285",11.90
127,Northern Ariz. (Big Sky),124,21-11,"1,475",11.90
128,Southern Utah (Big Sky),116,15-16,"1,379",11.89
129,Memphis (AAC),110,17-11,"1,306",11.87
130,Hartford (America East),109,16-13,"1,294",11.87
131,Bowling Green (MAC),120,19-12,"1,423",11.86
132,FIU (C-USA),103,10-16,"1,221",11.85
133,Southern California (Pac-12),126,17-13,"1,492",11.84
134,Colgate (Patriot),111,22-7,"1,313",11.83
135,Grand Canyon (WAC),116,24-6,"1,372",11.83
136,Western Mich. (MAC),112,14-14,"1,324",11.82
137,Fresno St. (Mountain West),104,14-16,"1,229",11.82
138,Washington St. (Pac-12),114,22-9,"1,347",11.82
139,Temple (AAC),92,12-15,"1,087",11.82
140,SFA (Southland),111,31-1,"1,311",11.81
141,Marshall (C-USA),101,18-10,"1,191",11.79
142,Rider (MAAC),115,15-16,"1,355",11.78
143,Arizona (Pac-12),117,15-17,"1,378",11.78
144,UC Davis (Big West),108,17-12,"1,270",11.76
145,North Carolina (ACC),107,15-13,"1,258",11.76
146,Wyoming (Mountain West),111,21-8,"1,305",11.76
147,Louisville (ACC),105,19-9,"1,233",11.74
148,Montana St. (Big Sky),112,15-14,"1,315",11.74
149,Clemson (ACC),104,11-17,"1,220",11.73
150,Akron (MAC),103,16-12,"1,208",11.73
151,Mercer (SoCon),114,14-16,"1,337",11.73
152,Virginia (ACC),107,13-18,"1,254",11.72
153,Western Caro. (SoCon),113,17-13,"1,323",11.71
154,Houston Baptist (Southland),118,17-15,"1,381",11.70
155,Arizona St. (Pac-12),124,17-14,"1,451",11.70
156,NC State (ACC),123,11-19,"1,439",11.70
157,Buffalo (MAC),119,13-17,"1,391",11.69
158,Southeastern La. (Southland),118,14-17,"1,378",11.68
159,TCU (Big 12),93,9-17,"1,086",11.68
160,Cleveland St. (Horizon),108,8-19,"1,261",11.68
161,Boise St. (Mountain West),107,18-11,"1,249",11.67
162,Florida St. (ACC),100,19-9,"1,167",11.67
163,Brown (Ivy League),87,13-10,"1,015",11.67
163,Cal Poly (Big West),102,20-8,"1,190",11.67
165,Morgan St. (MEAC),114,17-13,"1,329",11.66
166,Appalachian St. (Sun Belt),116,13-17,"1,352",11.66
167,Villanova (Big East),112,22-9,"1,305",11.65
167,Tennessee Tech (OVC),112,13-17,"1,305",11.65
169,Austin Peay (OVC),118,11-20,"1,374",11.64
170,Quinnipiac (MAAC),114,14-16,"1,327",11.64
171,Oregon St. (Pac-12),122,9-22,"1,420",11.64
172,Santa Clara (WCC),115,20-11,"1,335",11.61
173,Howard (MEAC),118,20-12,"1,368",11.59
174,Bucknell (Patriot),102,14-14,"1,180",11.57
175,Presbyterian (Big South),103,15-15,"1,191",11.56
176,Bryant (NEC),113,15-17,"1,306",11.56
177,Lamar University (Southland),94,9-17,"1,085",11.54
178,Miami (FL) (ACC),102,10-16,"1,177",11.54
179,North Dakota St. (Summit League),112,13-16,"1,292",11.54
180,Elon (CAA),129,14-18,"1,487",11.53
181,Penn (Ivy League),82,11-10,945,11.52
182,Missouri St. (MVC),125,10-22,"1,439",11.51
183,UAB (C-USA),98,12-15,"1,128",11.51
184,Northwestern (Big Ten),118,14-18,"1,356",11.49
185,CSUN (Big West),108,12-16,"1,241",11.49
186,Iowa (Big Ten),115,10-21,"1,320",11.48
187,Sacramento St. (Big Sky),130,14-18,"1,490",11.46
188,Kansas St. (Big 12),113,9-19,"1,295",11.46
189,Lehigh (Patriot),109,14-17,"1,247",11.44
190,UT Martin (OVC),118,13-19,"1,349",11.43
