Rank,Team,S,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
48,Oklahoma (Big 12),108,"1,348",641,"4,007",0.176
49,N.C. A&T (MEAC),112,"1,249",598,"3,686",0.177
50,Houston Baptist (Southland),118,"1,406",613,"4,479",0.177
51,Northern Ky. (Horizon),120,"1,540",705,"4,686",0.178
52,Florida (SEC),106,"1,235",592,"3,589",0.179
53,Northern Ariz. (Big Sky),124,"1,560",725,"4,656",0.179
54,Jackson St. (SWAC),126,"1,386",660,"4,042",0.18
55,Texas (Big 12),85,"1,023",512,"2,843",0.18
56,Denver (Summit League),114,"1,329",654,"3,748",0.18
57,Milwaukee (Horizon),119,"1,394",606,"4,362",0.181
58,Southern U. (SWAC),108,"1,336",598,"4,078",0.181
59,Miami (OH) (MAC),103,"1,268",578,"3,802",0.181
60,Fordham (Atlantic 10),106,"1,415",629,"4,320",0.182
61,Liberty (ASUN),109,"1,287",603,"3,756",0.182
62,UC Santa Barbara (Big West),98,"1,172",548,"3,425",0.182
63,Minnesota (Big Ten),95,"1,282",602,"3,725",0.183
64,Wyoming (Mountain West),111,"1,411",679,"4,007",0.183
65,Eastern Ky. (OVC),99,"1,221",539,"3,731",0.183
66,Michigan St. (Big Ten),110,"1,300",644,"3,582",0.183
67,Alabama A&M (SWAC),111,"1,405",670,"4,013",0.183
68,Florida St. (ACC),100,"1,314",631,"3,721",0.184
69,UIC (Horizon),116,"1,446",643,"4,374",0.184
70,Akron (MAC),103,"1,260",568,"3,764",0.184
71,Cal Poly (Big West),102,"1,156",545,"3,321",0.184
72,Omaha (Summit League),129,"1,432",656,"4,215",0.184
73,Saint Louis (Atlantic 10),112,"1,330",601,"3,948",0.185
74,Troy (Sun Belt),113,"1,227",568,"3,568",0.185
75,Butler (Big East),115,"1,438",648,"4,259",0.185
76,Quinnipiac (MAAC),114,"1,361",598,"4,109",0.186
77,Presbyterian (Big South),103,"1,212",548,"3,570",0.186
78,Louisiana (Sun Belt),110,"1,368",584,"4,215",0.186
79,Northern Colo. (Big Sky),128,"1,390",612,"4,163",0.187
80,SMU (AAC),106,"1,322",567,"4,029",0.187
81,Western Caro. (SoCon),113,"1,508",658,"4,535",0.187
82,Nevada (Mountain West),114,"1,397",631,"4,073",0.188
83,Notre Dame (ACC),112,"1,393",626,"4,063",0.189
84,Marshall (C-USA),101,"1,352",634,"3,802",0.189
85,Mercer (SoCon),114,"1,222",558,"3,512",0.189
86,Rider (MAAC),115,"1,352",584,"4,059",0.189
