Rank,Team,S,W-L,Kills,Errors,Total Attacks,Pct.
32,SFA (Southland),111,31-1,"1,447",389,"4,050",0.261
33,American (Patriot),115,24-7,"1,536",498,"3,974",0.261
34,Cornell (Ivy League),86,17-6,"1,196",409,"3,018",0.261
35,Washington (Pac-12),114,24-5,"1,547",518,"3,955",0.26
36,Utah (Pac-12),124,22-9,"1,733",645,"4,266",0.255
37,UC Santa Barbara (Big West),98,22-5,"1,354",494,"3,377",0.255
38,UCLA (Pac-12),96,18-11,"1,343",478,"3,426",0.252
39,Dayton (Atlantic 10),111,22-8,"1,474",528,"3,772",0.251
40,Florida St. (ACC),100,19-9,"1,255",429,"3,296",0.251
41,Hartford (America East),109,16-13,"1,415",525,"3,563",0.25
42,Creighton (Big East),99,24-5,"1,394",506,"3,562",0.249
43,Tennessee (SEC),108,15-13,"1,476",540,"3,766",0.249
44,Hawaii (Big West),104,24-3,"1,402",497,"3,654",0.248
45,Texas A&M (SEC),110,21-7,"1,495",602,"3,624",0.246
46,UC Davis (Big West),108,17-12,"1,383",530,"3,462",0.246
47,Fla. Atlantic (C-USA),100,16-11,"1,370",530,"3,416",0.246
48,Pepperdine (WCC),114,18-11,"1,529",554,"3,966",0.246
49,Columbia (Ivy League),93,12-12,"1,255",489,"3,116",0.246
50,Yale (Ivy League),83,15-8,"1,098",390,"2,900",0.244
51,Robert Morris (NEC),107,25-5,"1,420",450,"3,975",0.244
52,ETSU (SoCon),122,25-6,"1,629",603,"4,217",0.243
53,Southern California (Pac-12),126,17-13,"1,624",580,"4,297",0.243
54,Weber St. (Big Sky),119,24-8,"1,555",529,"4,247",0.242
55,Kennesaw St. (ASUN),112,22-8,"1,615",656,"3,971",0.242
56,Grand Canyon (WAC),116,24-6,"1,489",505,"4,089",0.241
57,Purdue (Big Ten),111,22-7,"1,438",545,"3,712",0.241
58,South Alabama (Sun Belt),119,20-11,"1,500",536,"4,030",0.239
59,Northern Ariz. (Big Sky),124,21-11,"1,562",503,"4,429",0.239
60,Milwaukee (Horizon),119,26-6,"1,706",612,"4,579",0.239
61,Iowa St. (Big 12),104,17-11,"1,417",519,"3,773",0.238
62,Wyoming (Mountain West),111,21-8,"1,425",511,"3,841",0.238
63,Kansas City (WAC),107,17-11,"1,448",552,"3,775",0.237
64,East Carolina (AAC),113,19-11,"1,480",527,"4,031",0.236
65,Texas St. (Sun Belt),114,24-8,"1,475",575,"3,811",0.236
66,Alabama A&M (SWAC),111,18-14,"1,332",480,"3,608",0.236
67,San Diego St. (Mountain West),110,15-14,"1,436",597,"3,557",0.236
68,James Madison (CAA),93,20-8,"1,171",440,"3,103",0.236
69,Samford (SoCon),115,24-5,"1,514",570,"4,029",0.234
70,Arizona (Pac-12),117,15-17,"1,520",574,"4,046",0.234
71,Liberty (ASUN),109,19-11,"1,452",564,"3,800",0.234
72,UNLV (Mountain West),121,19-10,"1,589",631,"4,103",0.233
73,A&M-Corpus Christi (Southland),117,19-12,"1,524",558,"4,141",0.233
74,Northern Colo. (Big Sky),128,26-7,"1,779",705,"4,610",0.233
75,Illinois (Big Ten),113,16-13,"1,547",611,"4,022",0.233
76,St. John's (NY) (Big East),115,22-11,"1,564",656,"3,902",0.233
77,Colgate (Patriot),111,22-7,"1,452",541,"3,915",0.233
78,Jacksonville St. (OVC),106,20-10,"1,479",590,"3,822",0.233
79,Georgia (SEC),107,20-9,"1,484",619,"3,721",0.232
80,Long Beach St. (Big West),105,12-16,"1,420",577,"3,637",0.232
81,Brown (Ivy League),87,13-10,"1,090",387,"3,036",0.232
82,Omaha (Summit League),129,19-14,"1,742",713,"4,453",0.231
83,Syracuse (ACC),91,11-13,"1,154",488,"2,897",0.23
84,Stetson (ASUN),103,12-15,"1,268",433,"3,634",0.23
85,Cal Poly (Big West),102,20-8,"1,272",508,"3,340",0.229
86,Santa Clara (WCC),115,20-11,"1,451",534,"4,012",0.229
87,SMU (AAC),106,18-10,"1,505",582,"4,039",0.229
88,UT Arlington (Sun Belt),118,18-13,"1,547",604,"4,134",0.228
89,Marshall (C-USA),101,18-10,"1,282",466,"3,606",0.226
90,UNI (MVC),126,24-10,"1,837",709,"4,986",0.226
91,Boston College (ACC),124,20-11,"1,609",653,"4,227",0.226
92,Denver (Summit League),114,23-8,"1,459",607,"3,785",0.225
93,Northwestern St. (Southland),116,20-12,"1,556",589,"4,300",0.225
94,Fairfield (MAAC),107,24-5,"1,453",592,"3,829",0.225
95,UTSA (C-USA),108,16-13,"1,410",543,"3,866",0.224
96,Kent St. (MAC),113,14-15,"1,529",586,"4,207",0.224
97,Morehead St. (OVC),115,23-9,"1,654",688,"4,318",0.224
98,North Florida (ASUN),126,15-18,"1,635",649,"4,412",0.223
99,North Texas (C-USA),109,17-11,"1,423",513,"4,076",0.223
100,Iowa (Big Ten),115,10-21,"1,447",571,"3,924",0.223
101,Northeastern (CAA),108,15-14,"1,418",589,"3,715",0.223
102,Washington St. (Pac-12),114,22-9,"1,498",600,"4,027",0.223
103,Idaho (Big Sky),124,13-18,"1,483",531,"4,279",0.222
