zip,households,income
54619,1196,56667
54621,517,61250
54622,896,55600
54623,816,64063
54624,649,53750
54625,122,36250
54626,536,50833
54627,748,59211
54628,426,48281
54629,1117,57837
54630,1683,55250
54631,706,47885
54632,469,57039
54634,1692,49625
54635,787,55156
54636,5256,78602
54637,94,38125
54638,575,46298
54639,967,45236
54641,1,NA
54642,817,54875
54643,0,NA
54644,572,58906
54645,31,30250
54646,1601,45966
54648,577,49271
54650,9827,60664
54651,532,44706
54652,383,40268
54653,311,61094
54654,46,NA
54655,698,43958
54656,7266,58727
54657,146,46000
54658,1087,53594
54659,553,56023
54660,6403,54355
54661,1583,60977
54664,638,43864
54665,3535,48895
54666,1105,60216
54667,1869,53596
54669,3048,73319
54670,574,57692
54701,15904,52861
54703,17515,49699
54720,3133,53270
54721,573,51902
54722,1434,56042
54723,530,60795
54724,3051,54018
54725,1129,50273
54726,664,52436
54727,1961,54555
54728,2582,50726
54729,13532,57679
54730,1930,66250
54731,247,48750
54732,1181,44044
54733,493,61953
54734,338,61786
54736,1637,54112
54737,235,66528
54738,1229,63355
54739,1810,69352
54740,804,56563
54741,663,40069
54742,1740,58611
54745,836,51500
54746,312,52000
54747,1057,50938
54748,554,37955
54749,482,59375
54750,429,59750
54751,9513,51247
54754,799,42337
54755,2978,54109
54756,405,50114
54757,1311,53589
54758,1862,56535
54759,626,49700
54760,113,36250
54761,460,54079
54762,512,44861
54763,474,53636
54765,11,23750
54766,629,44770
54767,1376,67188
54768,1773,43314
54769,288,53750
54770,828,61974
54771,1548,48688
54772,392,53000
54773,1325,49726
54801,3016,48306
54805,544,43871
54806,4807,44875
54810,947,53828
54812,2060,47619
54813,255,48036
54814,1104,48618
54817,1062,51786
54819,1104,41154
54820,330,48333
54821,643,42772
54822,1866,49951
54824,955,49803
54826,315,52841
54827,142,49423
54828,363,34491
54829,2253,49418
54830,1528,43684
54832,191,43125
54835,444,45000
54836,393,71250
54837,1581,46847
54838,538,51957
54839,121,37188
54840,1980,49015
54841,139,43125
54842,53,72625
54843,5166,44311
54844,147,47917
54845,49,42188
54846,197,41806
54847,1068,51724
54848,2618,39930
54849,819,66467
54850,90,49773
54853,1817,52462
54854,394,56923
54855,248,50000
54856,655,50272
54857,21,NA
54858,760,42200
54859,815,46349
54861,55,19306
54862,130,41071
54864,541,61477
54865,235,41369
54867,199,26607
54868,6902,48022
54870,711,56827
54871,1319,42917
54872,1268,40417
54873,1369,53425
54874,1479,64798
54875,515,43173
54876,652,44167
54880,13100,46113
54888,599,49922
54889,1106,48333
54891,1476,49706
54893,1741,42198
54895,424,50313
54896,749,42171
54901,13799,43790
54902,10102,47158
54904,8855,69032
54909,848,52339
54911,10487,49595
54913,7753,79390
54914,13033,52570
54915,16803,63459
54921,442,47738
54922,550,65962
54923,3776,48462
54927,227,82708
54928,159,58281
54929,3760,47230
54930,652,44405
54931,120,53750
54932,497,77083
54933,107,57250
54934,150,31885
54935,17605,50075
54937,7427,63900
54940,1727,68042
54941,1113,52375
54942,3305,100344
54943,844,43571
54944,3271,78875
54945,1539,52137
54946,0,NA
54947,1088,81638
54948,98,48125
54949,1409,55938
54950,1195,43973
54952,11072,54537
54956,18181,64553
54960,1185,48112
54961,5735,55898
54962,496,53920
54963,2670,60577
54964,374,76667
54965,608,60000
54966,771,53828
54967,191,46375
54968,1235,45625
54970,1237,44196
54971,4624,55417
54974,554,65156
54977,590,62647
54979,591,64250
54980,63,59821
54981,6513,55821
54982,2987,48470
54983,1803,54512
54984,1344,47031
54985,0,NA
54986,2114,62727
61072,4552,78340
61080,3765,63337
