Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
8600000US53185,53185,ZCTA5 53185,18551,15078,7344,7734,3473,0
8600000US53186,53186,ZCTA5 53186,33592,33592,33592,0,0,0
8600000US53188,53188,ZCTA5 53188,35195,33848,33848,0,1347,0
8600000US53189,53189,ZCTA5 53189,26228,20919,20583,336,5309,0
8600000US53190,53190,ZCTA5 53190,19200,14227,0,14227,4973,0
8600000US53191,53191,ZCTA5 53191,2842,2601,0,2601,241,0
8600000US53192,53192,ZCTA5 53192,217,113,113,0,104,0
8600000US53195,53195,ZCTA5 53195,114,0,0,0,114,0
8600000US53202,53202,ZCTA5 53202,23386,23386,23386,0,0,0
8600000US53203,53203,ZCTA5 53203,938,938,938,0,0,0
8600000US53204,53204,ZCTA5 53204,42355,42355,42355,0,0,0
8600000US53205,53205,ZCTA5 53205,10050,10050,10050,0,0,0
8600000US53206,53206,ZCTA5 53206,28210,28210,28210,0,0,0
8600000US53207,53207,ZCTA5 53207,35149,35149,35149,0,0,0
8600000US53208,53208,ZCTA5 53208,31133,31133,31133,0,0,0
8600000US53209,53209,ZCTA5 53209,46917,46917,46917,0,0,0
8600000US53210,53210,ZCTA5 53210,28126,28126,28126,0,0,0
8600000US53211,53211,ZCTA5 53211,35406,35406,35406,0,0,0
8600000US53212,53212,ZCTA5 53212,30416,30416,30416,0,0,0
8600000US53213,53213,ZCTA5 53213,26020,26020,26020,0,0,0
8600000US53214,53214,ZCTA5 53214,34725,34725,34725,0,0,0
8600000US53215,53215,ZCTA5 53215,60953,60953,60953,0,0,0
8600000US53216,53216,ZCTA5 53216,32264,32264,32264,0,0,0
8600000US53217,53217,ZCTA5 53217,29192,29192,29192,0,0,0
8600000US53218,53218,ZCTA5 53218,40625,40625,40625,0,0,0
8600000US53219,53219,ZCTA5 53219,33880,33880,33880,0,0,0
8600000US53220,53220,ZCTA5 53220,26303,26303,26303,0,0,0
8600000US53221,53221,ZCTA5 53221,37701,37701,37701,0,0,0
8600000US53222,53222,ZCTA5 53222,25165,25165,25165,0,0,0
8600000US53223,53223,ZCTA5 53223,29230,29230,29230,0,0,0
8600000US53224,53224,ZCTA5 53224,21284,21284,21284,0,0,0
8600000US53225,53225,ZCTA5 53225,25706,25706,25706,0,0,0
8600000US53226,53226,ZCTA5 53226,18370,18370,18370,0,0,0
8600000US53227,53227,ZCTA5 53227,23357,23357,23357,0,0,0
8600000US53228,53228,ZCTA5 53228,14369,14369,14369,0,0,0
8600000US53233,53233,ZCTA5 53233,16453,16453,16453,0,0,0
8600000US53235,53235,ZCTA5 53235,9270,9270,9270,0,0,0
8600000US53295,53295,ZCTA5 53295,359,359,359,0,0,0
8600000US53402,53402,ZCTA5 53402,33174,31625,31625,0,1549,0
8600000US53403,53403,ZCTA5 53403,27432,27294,27294,0,138,0
8600000US53404,53404,ZCTA5 53404,15658,15658,15658,0,0,0
8600000US53405,53405,ZCTA5 53405,25193,25193,25193,0,0,0
8600000US53406,53406,ZCTA5 53406,25845,25056,25056,0,789,0
8600000US53501,53501,ZCTA5 53501,23,0,0,0,23,0
8600000US53502,53502,ZCTA5 53502,2421,0,0,0,2421,0
8600000US53503,53503,ZCTA5 53503,1947,0,0,0,1947,0
8600000US53504,53504,ZCTA5 53504,2084,0,0,0,2084,0
8600000US53505,53505,ZCTA5 53505,354,0,0,0,354,0
8600000US53506,53506,ZCTA5 53506,1125,0,0,0,1125,0
8600000US53507,53507,ZCTA5 53507,2196,0,0,0,2196,0
8600000US53508,53508,ZCTA5 53508,5262,0,0,0,5262,0
8600000US53510,53510,ZCTA5 53510,1482,0,0,0,1482,0
8600000US53511,53511,ZCTA5 53511,48929,43775,43775,0,5154,0
8600000US53515,53515,ZCTA5 53515,2268,1269,0,1269,999,0
8600000US53516,53516,ZCTA5 53516,2152,0,0,0,2152,0
8600000US53517,53517,ZCTA5 53517,1752,0,0,0,1752,0
8600000US53518,53518,ZCTA5 53518,1330,0,0,0,1330,0
8600000US53520,53520,ZCTA5 53520,6810,3506,0,3506,3304,0
8600000US53521,53521,ZCTA5 53521,3656,1424,0,1424,2232,0
8600000US53522,53522,ZCTA5 53522,1085,0,0,0,1085,0
8600000US53523,53523,ZCTA5 53523,4949,2577,0,2577,2372,0
8600000US53525,53525,ZCTA5 53525,4052,0,0,0,4052,0
8600000US53526,53526,ZCTA5 53526,565,0,0,0,565,0
8600000US53527,53527,ZCTA5 53527,9963,6987,6987,0,2976,0
8600000US53528,53528,ZCTA5 53528,5734,3575,3575,0,2159,0
8600000US53529,53529,ZCTA5 53529,2031,0,0,0,2031,0
8600000US53530,53530,ZCTA5 53530,4566,0,0,0,4566,0
8600000US53531,53531,ZCTA5 53531,4338,0,0,0,4338,0
8600000US53532,53532,ZCTA5 53532,13606,10795,10795,0,2811,0
8600000US53533,53533,ZCTA5 53533,7276,4756,0,4756,2520,0
8600000US53534,53534,ZCTA5 53534,11512,7208,0,7208,4304,0
8600000US53536,53536,ZCTA5 53536,8503,5669,0,5669,2834,0
8600000US53537,53537,ZCTA5 53537,781,0,0,0,781,0
8600000US53538,53538,ZCTA5 53538,18468,13192,0,13192,5276,0
8600000US53540,53540,ZCTA5 53540,169,0,0,0,169,0
8600000US53541,53541,ZCTA5 53541,861,0,0,0,861,0
8600000US53543,53543,ZCTA5 53543,1641,0,0,0,1641,0
8600000US53544,53544,ZCTA5 53544,800,0,0,0,800,0
8600000US53545,53545,ZCTA5 53545,23117,21212,21212,0,1905,0
8600000US53546,53546,ZCTA5 53546,30648,27892,27892,0,2756,0
8600000US53548,53548,ZCTA5 53548,18558,15136,15136,0,3422,0
8600000US53549,53549,ZCTA5 53549,10414,7913,0,7913,2501,0
8600000US53550,53550,ZCTA5 53550,1239,0,0,0,1239,0
8600000US53551,53551,ZCTA5 53551,8273,6581,0,6581,1692,0
8600000US53553,53553,ZCTA5 53553,624,0,0,0,624,0
8600000US53554,53554,ZCTA5 53554,1134,0,0,0,1134,0
8600000US53555,53555,ZCTA5 53555,8465,3014,0,3014,5451,0
8600000US53556,53556,ZCTA5 53556,2594,0,0,0,2594,0
8600000US53557,53557,ZCTA5 53557,482,0,0,0,482,0
8600000US53558,53558,ZCTA5 53558,10742,9935,9935,0,807,0
8600000US53559,53559,ZCTA5 53559,6063,3834,0,3834,2229,0
8600000US53560,53560,ZCTA5 53560,3458,1687,0,1687,1771,0
8600000US53561,53561,ZCTA5 53561,1618,0,0,0,1618,0
8600000US53562,53562,ZCTA5 53562,23627,21718,21718,0,1909,0
8600000US53563,53563,ZCTA5 53563,10728,6766,6766,0,3962,0
8600000US53565,53565,ZCTA5 53565,4765,0,0,0,4765,0
8600000US53566,53566,ZCTA5 53566,15217,10883,0,10883,4334,0
8600000US53569,53569,ZCTA5 53569,1155,0,0,0,1155,0
8600000US53570,53570,ZCTA5 53570,2627,0,0,0,2627,0
8600000US53571,53571,ZCTA5 53571,280,0,0,0,280,0
