Rank,Team,S,W-L,Aces,Per Set
286,Abilene Christian (Southland),93,7-19,101,1.09
287,Temple (AAC),92,12-15,99,1.08
288,Colorado (Pac-12),106,13-17,114,1.08
289,Louisiana (Sun Belt),110,14-16,118,1.07
290,Idaho (Big Sky),124,13-18,133,1.07
291,Kansas St. (Big 12),113,9-19,121,1.07
292,Tulsa (AAC),115,15-15,123,1.07
293,UC Irvine (Big West),105,5-23,112,1.07
294,Utah Valley (WAC),113,11-19,120,1.06
295,Auburn (SEC),103,7-22,109,1.06
296,Long Beach St. (Big West),105,12-16,111,1.06
297,Purdue Fort Wayne (Summit League),124,18-14,131,1.06
298,UC Riverside (Big West),101,6-22,106,1.05
298,Ga. Southern (Sun Belt),101,7-20,106,1.05
300,Baylor (Big 12),86,25-1,90,1.05
301,UT Martin (OVC),118,13-19,123,1.04
302,Indiana St. (MVC),103,7-21,107,1.04
303,Nebraska (Big Ten),106,25-4,110,1.04
304,North Texas (C-USA),109,17-11,113,1.04
305,Stony Brook (America East),96,9-17,99,1.03
306,NC State (ACC),123,11-19,126,1.02
307,Western Mich. (MAC),112,14-14,114,1.02
308,Wichita St. (AAC),105,9-19,106,1.01
309,SMU (AAC),106,18-10,107,1.01
310,Virginia Tech (ACC),121,11-20,122,1.01
311,UConn (AAC),104,12-16,104,1.00
311,Ole Miss (SEC),117,14-15,117,1.00
311,Col. of Charleston (CAA),102,7-21,102,1.00
311,UT Arlington (Sun Belt),118,18-13,118,1.00
315,Grambling (SWAC),109,8-24,108,0.99
316,Jacksonville St. (OVC),106,20-10,105,0.99
317,Belmont (OVC),108,2-29,106,0.98
318,Oregon St. (Pac-12),122,9-22,119,0.98
319,Fairleigh Dickinson (NEC),98,4-26,95,0.97
320,West Virginia (Big 12),108,12-17,104,0.96
321,Eastern Mich. (MAC),106,11-17,102,0.96
322,Arizona (Pac-12),117,15-17,112,0.96
323,Duke (ACC),110,11-19,105,0.95
324,Sam Houston St. (Southland),127,18-13,121,0.95
325,Xavier (Big East),99,10-17,93,0.94
326,Southern Miss. (C-USA),102,3-26,95,0.93
327,Cal St. Fullerton (Big West),100,12-15,93,0.93
328,Furman (SoCon),109,7-20,101,0.93
329,Tennessee St. (OVC),104,12-17,96,0.92
330,Kansas (Big 12),96,9-17,86,0.90
331,NJIT (ASUN),110,1-31,98,0.89
332,San Diego St. (Mountain West),110,15-14,80,0.73
