Id,Id2,Geography,Percent; Estimate; Population 25 years and over,Percent Males; Estimate; Population 25 years and over,Percent Females; Estimate; Population 25 years and over,Percent; Estimate; Population 25 years and over - Less than 9th grade,Percent Males; Estimate; Population 25 years and over - Less than 9th grade,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent Males; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Percent; Estimate; Population 25 years and over - Some college, no degree","Percent Males; Estimate; Population 25 years and over - Some college, no degree","Percent Females; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent Males; Estimate; Population 25 years and over - Associate's degree,Percent Females; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent Males; Estimate; Population 25 years and over - Graduate or professional degree,Percent Females; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent high school graduate or higher,Percent Females; Estimate; Percent high school graduate or higher,Percent; Estimate; Percent bachelor's degree or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher
8600000US54865,54865,ZCTA5 54865,(X),(X),(X),1.8,3.4,0.0,5.0,5.4,4.5,31.0,32.0,29.8,24.7,25.1,24.2,8.7,6.4,11.2,16.3,17.7,14.6,12.6,9.9,15.7,93.2,91.1,95.5,28.9,27.6,30.3
8600000US54867,54867,ZCTA5 54867,(X),(X),(X),1.7,2.7,0.8,8.0,6.2,9.6,51.7,58.4,45.6,21.0,15.0,26.4,5.9,6.2,5.6,5.9,7.1,4.8,5.9,4.4,7.2,90.3,91.2,89.6,11.8,11.5,12.0
8600000US54868,54868,ZCTA5 54868,(X),(X),(X),2.4,2.6,2.3,4.2,4.8,3.7,38.2,42.7,34.2,20.7,20.0,21.3,14.3,12.1,16.2,12.2,11.5,12.9,8.1,6.4,9.5,93.4,92.7,94.1,20.3,17.9,22.4
8600000US54870,54870,ZCTA5 54870,(X),(X),(X),1.3,1.4,1.2,5.7,9.1,2.3,35.7,35.0,36.3,20.9,21.8,19.9,12.4,10.0,14.8,15.6,12.4,18.7,8.4,10.2,6.7,93.0,89.5,96.4,24.0,22.6,25.4
8600000US54871,54871,ZCTA5 54871,(X),(X),(X),2.4,4.0,0.9,5.7,6.4,5.0,40.2,37.9,42.4,21.1,20.9,21.3,11.8,11.2,12.5,12.8,13.2,12.5,6.0,6.5,5.5,91.9,89.6,94.2,18.9,19.7,18.0
8600000US54872,54872,ZCTA5 54872,(X),(X),(X),1.4,0.3,2.5,5.0,6.2,3.7,42.0,43.9,40.0,24.7,22.5,27.1,9.0,9.8,8.1,14.3,13.3,15.5,3.6,4.0,3.2,93.6,93.5,93.8,17.9,17.3,18.6
8600000US54873,54873,ZCTA5 54873,(X),(X),(X),1.4,2.3,0.6,6.1,5.3,6.9,31.1,33.2,28.9,22.5,24.3,20.6,14.8,12.2,17.3,16.1,15.9,16.3,8.1,6.8,9.4,92.5,92.4,92.6,24.2,22.7,25.7
8600000US54874,54874,ZCTA5 54874,(X),(X),(X),2.0,2.2,1.8,6.9,7.1,6.7,32.9,38.3,27.4,21.8,21.9,21.6,14.1,10.5,17.8,15.9,13.5,18.3,6.3,6.3,6.3,91.0,90.6,91.4,22.2,19.9,24.6
8600000US54875,54875,ZCTA5 54875,(X),(X),(X),3.1,3.3,2.9,8.8,11.9,5.3,37.9,42.0,33.2,21.2,20.7,21.8,13.7,9.7,18.1,10.0,6.2,14.4,5.3,6.2,4.3,88.1,84.8,91.8,15.3,12.4,18.6
8600000US54876,54876,ZCTA5 54876,(X),(X),(X),1.8,1.6,2.1,10.0,11.8,8.1,35.7,36.4,34.9,20.4,19.1,21.9,7.4,8.0,6.7,17.9,17.1,18.8,6.7,6.1,7.5,88.2,86.6,89.8,24.7,23.2,26.3
8600000US54880,54880,ZCTA5 54880,(X),(X),(X),1.7,1.5,1.9,4.5,5.6,3.5,33.1,34.9,31.5,26.5,27.3,25.8,12.0,10.0,14.0,15.3,14.5,16.0,6.9,6.3,7.4,93.8,93.0,94.6,22.2,20.8,23.4
8600000US54888,54888,ZCTA5 54888,(X),(X),(X),1.9,3.0,0.6,6.6,9.3,3.7,39.6,39.9,39.4,20.7,19.7,21.8,14.8,11.2,18.9,10.4,11.4,9.4,5.9,5.6,6.2,91.5,87.7,95.7,16.3,16.9,15.6
8600000US54889,54889,ZCTA5 54889,(X),(X),(X),2.2,1.0,3.4,7.0,7.8,6.1,44.3,45.0,43.6,20.9,23.3,18.5,9.0,8.8,9.2,11.2,9.3,13.3,5.4,4.8,6.0,90.9,91.2,90.5,16.6,14.1,19.3
8600000US54891,54891,ZCTA5 54891,(X),(X),(X),1.4,1.0,1.8,3.3,3.3,3.3,22.0,25.7,18.3,21.6,21.1,22.1,10.4,9.6,11.2,27.5,27.4,27.6,13.9,12.0,15.8,95.3,95.7,94.9,41.4,39.3,43.4
8600000US54893,54893,ZCTA5 54893,(X),(X),(X),1.5,1.7,1.3,8.6,10.6,6.6,36.9,38.2,35.8,24.7,22.3,27.0,9.8,8.4,11.0,13.4,14.5,12.4,5.1,4.2,5.9,89.9,87.7,92.0,18.5,18.8,18.2
8600000US54895,54895,ZCTA5 54895,(X),(X),(X),2.7,4.1,1.1,6.8,9.3,3.9,37.9,38.4,37.3,23.7,20.8,27.0,13.2,10.0,17.0,11.2,12.2,10.0,4.5,5.3,3.6,90.5,86.6,95.0,15.7,17.4,13.6
8600000US54896,54896,ZCTA5 54896,(X),(X),(X),1.0,1.1,0.9,10.0,11.4,8.4,45.9,50.9,40.2,18.9,16.3,21.7,11.5,7.8,15.7,7.5,6.5,8.7,5.3,6.0,4.4,89.0,87.5,90.7,12.8,12.5,13.2
8600000US54901,54901,ZCTA5 54901,(X),(X),(X),2.9,3.3,2.4,8.5,11.5,4.7,34.7,35.3,34.1,22.7,22.0,23.5,8.6,8.8,8.5,15.6,12.5,19.5,7.0,6.7,7.4,88.7,85.2,92.9,22.6,19.2,26.9
8600000US54902,54902,ZCTA5 54902,(X),(X),(X),2.5,3.0,1.9,6.1,6.8,5.5,37.1,35.6,38.6,22.7,22.1,23.2,9.7,12.2,7.3,16.8,15.6,17.9,5.1,4.7,5.5,91.4,90.2,92.5,21.9,20.4,23.4
