Id,Id2,Geography,Percent; Estimate; Population 25 years and over,Percent Males; Estimate; Population 25 years and over,Percent Females; Estimate; Population 25 years and over,Percent; Estimate; Population 25 years and over - Less than 9th grade,Percent Males; Estimate; Population 25 years and over - Less than 9th grade,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent Males; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Percent; Estimate; Population 25 years and over - Some college, no degree","Percent Males; Estimate; Population 25 years and over - Some college, no degree","Percent Females; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent Males; Estimate; Population 25 years and over - Associate's degree,Percent Females; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent Males; Estimate; Population 25 years and over - Graduate or professional degree,Percent Females; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent high school graduate or higher,Percent Females; Estimate; Percent high school graduate or higher,Percent; Estimate; Percent bachelor's degree or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher
8600000US53001,53001,ZCTA5 53001,(X),(X),(X),2.1,3.7,0.5,3.0,4.1,1.8,44.4,46.8,41.9,18.6,21.1,15.9,14.0,11.2,17.0,13.9,9.9,18.0,4.0,3.1,5.0,94.9,92.2,97.7,17.9,13.0,23.0
8600000US53002,53002,ZCTA5 53002,(X),(X),(X),0.8,0.8,0.9,2.8,2.9,2.6,35.3,44.9,26.3,26.6,26.4,26.7,13.6,8.7,18.0,17.3,13.9,20.5,3.7,2.4,4.9,96.4,96.2,96.5,21.0,16.2,25.4
8600000US53003,53003,ZCTA5 53003,(X),(X),(X),4.5,0.0,9.4,9.8,18.6,0.0,51.8,66.1,35.8,18.8,8.5,30.2,7.1,0.0,15.1,4.5,0.0,9.4,3.6,6.8,0.0,85.7,81.4,90.6,8.0,6.8,9.4
8600000US53004,53004,ZCTA5 53004,(X),(X),(X),2.7,2.5,3.0,3.7,3.0,4.4,34.8,40.0,29.6,19.2,21.7,16.7,14.5,9.5,19.4,17.6,18.8,16.5,7.4,4.5,10.3,93.5,94.5,92.6,25.1,23.3,26.8
8600000US53005,53005,ZCTA5 53005,(X),(X),(X),1.5,1.2,1.7,2.0,1.9,2.0,16.5,14.2,18.5,17.6,20.2,15.2,7.7,6.8,8.6,33.5,32.0,34.9,21.2,23.6,19.1,96.5,96.9,96.3,54.7,55.6,53.9
8600000US53006,53006,ZCTA5 53006,(X),(X),(X),1.4,1.0,1.8,7.5,6.7,8.4,42.2,49.5,34.6,15.0,17.5,12.4,12.8,9.9,15.9,14.7,11.0,18.6,6.3,4.5,8.2,91.1,92.4,89.8,21.0,15.4,26.8
8600000US53007,53007,ZCTA5 53007,(X),(X),(X),2.0,0.6,3.4,5.0,4.4,5.7,34.8,32.2,37.4,21.4,25.0,17.6,9.7,12.8,6.5,22.5,22.3,22.8,4.7,2.8,6.7,93.0,95.0,90.9,27.2,25.0,29.5
8600000US53010,53010,ZCTA5 53010,(X),(X),(X),2.5,3.0,2.1,7.0,8.7,5.3,45.2,48.3,41.9,19.6,19.5,19.8,10.5,8.5,12.8,10.6,9.0,12.3,4.5,3.1,6.0,90.4,88.3,92.7,15.1,12.0,18.3
8600000US53011,53011,ZCTA5 53011,(X),(X),(X),2.2,2.7,1.6,4.6,5.1,4.1,40.6,42.4,38.8,23.1,20.0,26.4,11.9,13.0,10.8,13.8,13.0,14.7,3.8,3.9,3.6,93.2,92.2,94.3,17.5,16.8,18.3
8600000US53012,53012,ZCTA5 53012,(X),(X),(X),0.8,1.3,0.4,1.7,1.1,2.3,20.9,18.9,22.9,16.7,16.0,17.4,9.1,9.4,8.9,33.2,34.2,32.2,17.5,19.1,15.9,97.5,97.6,97.3,50.7,53.4,48.1
8600000US53013,53013,ZCTA5 53013,(X),(X),(X),0.6,0.1,1.1,3.8,5.6,1.9,35.9,39.7,32.1,21.5,16.5,26.5,13.3,12.9,13.7,15.7,15.6,15.9,9.1,9.6,8.7,95.6,94.3,96.9,24.9,25.1,24.6
8600000US53014,53014,ZCTA5 53014,(X),(X),(X),3.7,2.1,5.1,5.3,6.0,4.6,40.1,44.9,35.5,20.1,18.9,21.3,11.4,10.6,12.2,15.6,13.7,17.4,3.8,3.8,3.8,91.0,91.9,90.2,19.4,17.5,21.2
8600000US53015,53015,ZCTA5 53015,(X),(X),(X),4.6,5.2,3.9,6.5,6.9,6.0,32.7,30.7,34.8,19.8,20.3,19.2,11.6,12.4,10.8,15.3,14.0,16.8,9.5,10.4,8.6,88.9,87.8,90.1,24.9,24.4,25.4
8600000US53016,53016,ZCTA5 53016,(X),(X),(X),1.7,1.3,2.1,11.0,14.6,6.9,48.8,57.3,39.6,17.9,16.6,19.4,12.0,6.4,18.1,8.3,3.2,13.9,0.3,0.6,0.0,87.4,84.1,91.0,8.6,3.8,13.9
8600000US53017,53017,ZCTA5 53017,(X),(X),(X),0.2,0.0,0.4,1.1,1.7,0.5,24.6,23.8,25.3,20.7,20.8,20.6,11.7,12.2,11.2,26.2,24.8,27.5,15.6,16.7,14.5,98.7,98.3,99.1,41.8,41.5,42.0
8600000US53018,53018,ZCTA5 53018,(X),(X),(X),0.7,0.5,0.9,2.4,2.0,2.7,19.1,17.5,20.6,15.8,16.7,15.0,7.5,7.5,7.5,34.0,33.5,34.5,20.5,22.3,18.9,96.9,97.5,96.4,54.5,55.7,53.4
8600000US53019,53019,ZCTA5 53019,(X),(X),(X),3.3,3.6,3.0,5.5,6.1,4.9,40.9,48.1,34.0,23.1,20.0,26.2,12.3,10.7,13.7,11.1,7.5,14.6,3.8,4.0,3.6,91.2,90.3,92.1,14.9,11.5,18.2
8600000US53020,53020,ZCTA5 53020,(X),(X),(X),1.3,1.2,1.5,4.8,4.8,4.7,35.7,37.0,34.3,23.3,24.6,22.0,9.4,9.1,9.7,17.4,13.4,21.6,8.1,10.0,6.1,93.9,94.0,93.7,25.5,23.3,27.7
8600000US53021,53021,ZCTA5 53021,(X),(X),(X),1.1,1.1,1.2,3.9,4.1,3.8,40.6,43.1,38.0,24.6,25.6,23.7,10.1,8.7,11.6,14.3,13.6,15.0,5.3,3.8,6.8,94.9,94.9,95.0,19.6,17.4,21.8
8600000US53022,53022,ZCTA5 53022,(X),(X),(X),1.3,0.1,2.3,3.9,5.4,2.6,23.3,21.6,24.8,22.4,22.5,22.2,9.3,9.1,9.5,28.3,29.4,27.3,11.5,11.9,11.2,94.8,94.5,95.1,39.8,41.3,38.5
8600000US53023,53023,ZCTA5 53023,(X),(X),(X),2.3,3.1,0.0,6.7,8.4,1.8,49.0,51.9,40.8,24.5,26.0,20.2,4.8,2.7,11.0,9.1,5.8,18.4,3.6,2.1,7.8,91.0,88.5,98.2,12.6,7.9,26.2
8600000US53024,53024,ZCTA5 53024,(X),(X),(X),1.2,0.9,1.4,2.4,2.0,2.7,21.3,22.0,20.6,22.8,22.8,22.9,9.5,8.5,10.4,28.2,28.1,28.3,14.7,15.7,13.8,96.5,97.0,96.0,42.9,43.8,42.1
8600000US53027,53027,ZCTA5 53027,(X),(X),(X),2.3,2.1,2.6,4.6,5.1,4.0,33.4,34.4,32.4,22.6,22.8,22.4,10.8,10.9,10.8,19.2,19.4,19.0,7.1,5.2,8.9,93.1,92.8,93.4,26.3,24.6,27.9
8600000US53029,53029,ZCTA5 53029,(X),(X),(X),1.4,1.1,1.7,2.1,3.3,1.0,20.3,18.5,22.0,21.0,21.4,20.7,8.6,8.3,8.9,31.1,30.5,31.8,15.4,17.0,13.8,96.5,95.6,97.3,46.5,47.5,45.6
8600000US53031,53031,ZCTA5 53031,(X),(X),(X),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8600000US53032,53032,ZCTA5 53032,(X),(X),(X),3.9,4.1,3.8,5.5,5.7,5.4,43.0,42.7,43.3,20.3,20.7,20.0,9.9,9.3,10.5,13.3,12.4,14.2,4.0,5.2,2.8,90.5,90.2,90.9,17.3,17.6,17.1
8600000US53033,53033,ZCTA5 53033,(X),(X),(X),0.4,0.5,0.4,3.9,4.9,2.8,28.6,24.6,32.7,22.5,27.3,17.6,11.2,10.6,11.9,25.4,25.4,25.4,8.0,6.6,9.3,95.7,94.6,96.8,33.3,32.0,34.7
8600000US53034,53034,ZCTA5 53034,(X),(X),(X),2.7,2.7,2.6,3.2,0.8,5.5,45.4,47.8,42.9,26.0,26.7,25.2,9.8,10.6,8.9,9.8,8.0,11.6,3.3,3.3,3.3,94.2,96.5,91.9,13.1,11.3,14.9
8600000US53035,53035,ZCTA5 53035,(X),(X),(X),3.1,4.3,2.0,6.6,9.0,4.3,47.9,50.5,45.3,19.2,18.4,20.1,8.5,7.8,9.3,11.5,8.3,14.6,3.1,1.7,4.5,90.2,86.7,93.7,14.6,10.0,19.1
8600000US53036,53036,ZCTA5 53036,(X),(X),(X),0.6,0.2,0.9,2.9,3.9,1.8,28.6,30.5,26.6,29.3,31.4,27.3,12.4,10.4,14.5,17.9,18.3,17.4,8.4,5.3,11.6,96.6,95.9,97.3,26.3,23.6,29.0
8600000US53037,53037,ZCTA5 53037,(X),(X),(X),1.0,1.1,0.9,3.9,3.9,3.9,30.4,28.7,31.9,24.6,24.5,24.8,11.8,12.1,11.6,22.5,23.4,21.6,5.8,6.3,5.3,95.1,95.0,95.2,28.2,29.7,26.9
8600000US53038,53038,ZCTA5 53038,(X),(X),(X),1.9,2.4,1.4,5.2,6.6,3.8,31.3,36.4,26.2,22.1,21.0,23.2,9.7,8.8,10.6,22.5,18.0,26.9,7.4,6.8,8.0,93.0,91.1,94.9,29.9,24.8,35.0
8600000US53039,53039,ZCTA5 53039,(X),(X),(X),4.4,4.5,4.3,7.0,8.5,5.2,41.4,42.6,39.9,22.9,22.3,23.7,10.4,11.0,9.6,10.8,8.0,14.1,3.1,3.0,3.2,88.6,87.0,90.5,13.9,11.0,17.3
8600000US53040,53040,ZCTA5 53040,(X),(X),(X),2.9,2.9,2.8,6.1,5.7,6.5,33.5,34.8,32.2,25.0,22.8,27.2,12.9,14.1,11.6,14.4,15.2,13.6,5.3,4.5,6.0,91.0,91.4,90.7,19.7,19.7,19.7
8600000US53042,53042,ZCTA5 53042,(X),(X),(X),1.5,1.6,1.4,5.0,5.4,4.5,43.1,44.9,41.3,22.0,20.9,23.1,13.7,12.1,15.3,10.6,10.2,10.9,4.2,4.8,3.5,93.6,93.0,94.2,14.8,15.1,14.4
8600000US53044,53044,ZCTA5 53044,(X),(X),(X),0.0,0.0,0.0,0.3,0.3,0.3,16.8,16.5,17.0,13.5,12.8,14.2,8.2,7.6,8.8,36.1,34.7,37.4,25.0,28.2,22.3,99.7,99.7,99.7,61.2,62.9,59.7
8600000US53045,53045,ZCTA5 53045,(X),(X),(X),1.5,1.6,1.5,0.9,1.1,0.7,16.4,10.7,21.3,14.8,14.9,14.7,6.7,6.5,6.9,35.0,35.2,34.9,24.7,30.0,20.0,97.6,97.3,97.8,59.7,65.2,54.9
8600000US53046,53046,ZCTA5 53046,(X),(X),(X),1.6,0.7,2.6,5.4,9.6,1.0,38.5,40.7,36.2,25.1,17.0,33.4,13.0,13.1,12.9,11.6,15.1,8.0,4.8,3.7,5.9,92.9,89.6,96.4,16.4,18.8,13.9
8600000US53047,53047,ZCTA5 53047,(X),(X),(X),5.7,14.3,0.0,0.0,0.0,0.0,17.1,42.9,0.0,17.1,0.0,28.6,25.7,21.4,28.6,8.6,21.4,0.0,25.7,0.0,42.9,94.3,85.7,100.0,34.3,21.4,42.9
8600000US53048,53048,ZCTA5 53048,(X),(X),(X),3.2,2.1,4.5,10.2,10.0,10.5,37.2,37.3,37.0,25.8,28.3,22.8,7.8,7.0,8.7,12.2,12.5,11.9,3.7,2.8,4.7,86.6,87.9,85.0,15.9,15.3,16.6
8600000US53049,53049,ZCTA5 53049,(X),(X),(X),2.5,3.5,1.4,5.6,9.0,1.8,33.9,33.9,33.9,18.5,18.2,18.9,17.9,23.0,12.2,12.9,6.5,20.1,8.6,6.0,11.6,91.9,87.6,96.8,21.5,12.5,31.7
8600000US53050,53050,ZCTA5 53050,(X),(X),(X),2.8,2.7,2.9,9.3,8.8,9.7,42.1,44.0,40.4,20.8,19.5,22.0,10.9,11.1,10.7,10.9,8.9,12.7,3.2,5.0,1.6,87.9,88.5,87.4,14.1,13.9,14.3
8600000US53051,53051,ZCTA5 53051,(X),(X),(X),1.9,1.9,1.8,2.7,2.9,2.5,25.8,24.2,27.1,19.1,19.4,18.9,9.6,9.6,9.5,26.8,27.8,25.9,14.2,14.1,14.3,95.4,95.2,95.7,41.0,41.9,40.2
8600000US53057,53057,ZCTA5 53057,(X),(X),(X),4.3,5.6,3.1,7.2,5.2,9.2,41.4,46.0,37.0,16.4,18.6,14.4,13.5,12.7,14.2,11.5,7.5,15.2,5.7,4.5,6.9,88.5,89.2,87.7,17.2,12.0,22.1
8600000US53058,53058,ZCTA5 53058,(X),(X),(X),0.2,0.2,0.2,0.4,0.0,0.8,18.9,14.4,23.4,21.0,25.7,16.4,10.4,12.8,7.9,30.7,26.7,34.7,18.3,20.1,16.5,99.4,99.8,99.0,49.1,46.9,51.3
8600000US53059,53059,ZCTA5 53059,(X),(X),(X),2.4,2.3,2.4,6.7,7.5,5.7,44.6,49.6,38.9,21.6,20.1,23.4,13.7,11.9,15.8,8.2,6.1,10.5,2.9,2.5,3.3,91.0,90.2,91.9,11.0,8.6,13.9
8600000US53061,53061,ZCTA5 53061,(X),(X),(X),4.7,3.9,5.5,8.1,9.4,6.8,34.1,38.8,29.0,21.6,17.7,25.7,12.1,12.0,12.1,15.7,14.4,17.2,3.8,3.9,3.6,87.2,86.7,87.7,19.5,18.3,20.8
8600000US53063,53063,ZCTA5 53063,(X),(X),(X),4.3,6.3,2.1,6.0,2.9,9.4,38.5,46.9,29.5,19.9,17.7,22.4,12.7,11.2,14.2,13.3,10.9,15.8,5.3,4.2,6.6,89.7,90.9,88.5,18.6,15.1,22.4
8600000US53065,53065,ZCTA5 53065,(X),(X),(X),3.0,3.5,2.6,4.4,6.4,2.3,43.2,45.2,41.2,16.8,16.7,16.9,15.3,15.4,15.2,13.4,9.9,16.9,3.9,2.9,5.0,92.6,90.1,95.1,17.3,12.8,21.9
8600000US53066,53066,ZCTA5 53066,(X),(X),(X),1.1,1.0,1.3,2.7,2.4,3.0,24.1,26.8,21.5,20.7,19.0,22.3,9.2,7.7,10.5,27.5,27.9,27.1,14.7,15.2,14.3,96.1,96.6,95.7,42.2,43.1,41.3
8600000US53069,53069,ZCTA5 53069,(X),(X),(X),0.0,0.0,0.0,5.5,0.0,11.2,19.7,23.7,15.4,15.3,23.7,6.7,2.6,5.1,0.0,47.8,38.6,57.2,9.1,8.8,9.5,94.5,100.0,88.8,56.9,47.5,66.7
8600000US53070,53070,ZCTA5 53070,(X),(X),(X),2.0,1.4,2.6,3.8,5.0,2.7,36.4,37.9,34.9,20.4,20.6,20.1,10.1,7.9,12.3,18.7,18.9,18.5,8.6,8.2,9.0,94.2,93.6,94.7,27.3,27.1,27.5
8600000US53072,53072,ZCTA5 53072,(X),(X),(X),0.5,0.3,0.6,1.6,2.0,1.3,20.6,19.5,21.7,19.3,20.5,18.1,9.8,7.6,11.8,32.1,30.6,33.6,16.1,19.6,12.8,97.9,97.7,98.1,48.2,50.1,46.4
8600000US53073,53073,ZCTA5 53073,(X),(X),(X),2.3,3.1,1.6,5.5,5.7,5.2,33.4,32.5,34.3,21.4,24.0,19.0,8.6,8.4,8.8,20.2,17.1,23.1,8.6,9.2,8.0,92.2,91.2,93.1,28.8,26.3,31.1
8600000US53074,53074,ZCTA5 53074,(X),(X),(X),0.8,0.7,1.0,4.2,4.9,3.6,27.8,27.5,28.1,22.1,23.6,20.7,10.5,9.6,11.3,23.5,23.0,23.9,11.0,10.7,11.4,94.9,94.4,95.4,34.5,33.7,35.3
8600000US53075,53075,ZCTA5 53075,(X),(X),(X),1.7,2.7,0.6,6.3,7.2,5.4,35.9,34.2,37.6,25.2,28.7,21.4,9.2,8.9,9.7,16.2,13.3,19.3,5.5,5.0,6.0,92.0,90.1,94.0,21.7,18.3,25.3
8600000US53076,53076,ZCTA5 53076,(X),(X),(X),1.7,1.8,1.7,2.2,2.7,1.7,20.6,23.4,17.9,27.0,31.3,22.8,14.1,9.4,18.7,24.6,21.5,27.7,9.8,9.9,9.6,96.1,95.5,96.7,34.4,31.4,37.3
8600000US53078,53078,ZCTA5 53078,(X),(X),(X),1.6,1.7,1.6,3.4,4.6,1.7,43.5,47.4,38.4,21.5,20.8,22.4,13.5,10.1,17.9,10.3,8.5,12.7,6.2,6.8,5.4,95.0,93.7,96.7,16.5,15.4,18.1
8600000US53079,53079,ZCTA5 53079,(X),(X),(X),3.3,4.7,1.8,4.2,6.1,2.2,44.1,45.8,42.5,18.5,20.4,16.4,14.0,12.2,15.8,11.6,6.7,16.6,4.4,4.1,4.6,92.6,89.2,96.0,16.0,10.8,21.2
8600000US53080,53080,ZCTA5 53080,(X),(X),(X),2.2,3.2,1.3,5.6,4.8,6.4,32.5,32.6,32.5,22.8,21.1,24.4,12.6,11.2,13.8,16.2,19.3,13.4,8.0,7.8,8.2,92.2,92.0,92.3,24.2,27.1,21.6
8600000US53081,53081,ZCTA5 53081,(X),(X),(X),4.7,3.9,5.5,7.5,7.7,7.3,38.9,39.5,38.4,21.0,20.6,21.4,9.2,9.4,8.9,13.2,13.5,12.8,5.5,5.4,5.6,87.8,88.4,87.2,18.7,18.9,18.5
8600000US53083,53083,ZCTA5 53083,(X),(X),(X),1.7,1.9,1.5,3.3,4.6,2.1,33.5,31.2,35.7,20.4,20.5,20.4,11.3,11.2,11.5,20.0,19.4,20.6,9.7,11.2,8.3,95.0,93.5,96.4,29.7,30.7,28.9
8600000US53085,53085,ZCTA5 53085,(X),(X),(X),1.9,1.1,2.7,5.0,6.8,3.3,39.7,39.0,40.3,20.1,21.1,19.2,12.0,11.4,12.5,16.1,14.9,17.2,5.2,5.7,4.7,93.1,92.1,94.0,21.3,20.6,21.9
8600000US53086,53086,ZCTA5 53086,(X),(X),(X),3.5,1.8,5.4,3.9,5.2,2.6,32.0,33.4,30.5,19.7,19.8,19.6,10.2,10.5,10.0,21.6,21.4,21.7,9.0,7.9,10.3,92.5,93.0,92.0,30.6,29.3,32.0
8600000US53088,53088,ZCTA5 53088,(X),(X),(X),0.7,1.2,0.0,2.9,4.7,0.7,56.2,56.4,56.0,23.5,22.7,24.6,7.5,5.2,10.4,7.2,8.7,5.2,2.0,1.2,3.0,96.4,94.2,99.3,9.2,9.9,8.2
8600000US53089,53089,ZCTA5 53089,(X),(X),(X),0.7,0.2,1.3,2.9,2.7,3.1,25.2,25.0,25.5,22.9,25.7,20.3,11.3,10.5,12.0,27.3,27.4,27.3,9.6,8.6,10.5,96.4,97.1,95.7,36.9,36.0,37.8
8600000US53090,53090,ZCTA5 53090,(X),(X),(X),2.0,2.1,1.9,4.2,4.8,3.7,36.0,37.5,34.5,24.0,25.2,22.9,11.9,11.0,12.9,15.8,13.7,17.9,6.1,5.8,6.3,93.8,93.1,94.4,21.8,19.5,24.2
8600000US53091,53091,ZCTA5 53091,(X),(X),(X),1.8,1.3,2.4,7.8,9.0,6.5,41.6,41.7,41.5,23.4,25.0,21.7,13.2,13.0,13.5,9.3,6.2,12.5,2.8,3.8,1.8,90.4,89.7,91.1,12.2,10.0,14.3
8600000US53092,53092,ZCTA5 53092,(X),(X),(X),0.3,0.4,0.3,1.8,1.5,2.1,14.9,10.5,18.7,15.5,14.9,16.0,6.1,3.4,8.6,35.8,37.9,33.9,25.5,31.4,20.4,97.9,98.1,97.6,61.3,69.3,54.3
8600000US53093,53093,ZCTA5 53093,(X),(X),(X),1.0,0.9,1.2,2.9,3.3,2.5,33.0,33.7,32.4,27.3,27.9,26.7,11.6,8.0,15.2,20.9,21.3,20.5,3.3,5.0,1.6,96.1,95.9,96.4,24.2,26.3,22.1
8600000US53094,53094,ZCTA5 53094,(X),(X),(X),4.3,4.1,4.4,5.0,5.8,4.3,39.1,43.8,34.8,20.7,19.9,21.5,10.0,9.5,10.4,14.5,9.6,19.1,6.4,7.3,5.6,90.8,90.1,91.4,20.9,16.9,24.7
8600000US53095,53095,ZCTA5 53095,(X),(X),(X),2.7,2.7,2.6,4.5,4.9,4.1,30.0,28.6,31.3,21.7,21.6,21.9,11.0,11.0,11.1,21.7,22.1,21.3,8.4,9.1,7.7,92.9,92.4,93.3,30.1,31.3,29.0
8600000US53097,53097,ZCTA5 53097,(X),(X),(X),0.7,1.0,0.4,1.8,3.1,0.4,15.3,14.0,16.7,13.8,13.3,14.4,5.2,4.5,5.9,38.1,33.7,42.7,25.0,30.4,19.5,97.5,95.9,99.2,63.2,64.2,62.2
8600000US53098,53098,ZCTA5 53098,(X),(X),(X),3.5,3.3,3.8,7.4,9.6,5.4,36.8,35.8,37.6,21.8,25.0,18.9,10.7,8.5,12.6,13.2,11.6,14.7,6.6,6.2,6.9,89.0,87.1,90.8,19.8,17.8,21.6
8600000US53103,53103,ZCTA5 53103,(X),(X),(X),1.4,1.7,1.1,2.5,2.4,2.5,26.9,28.1,25.7,27.6,31.5,23.4,14.4,13.6,15.3,18.3,15.5,21.4,8.8,7.2,10.5,96.1,95.9,96.4,27.1,22.7,32.0
8600000US53104,53104,ZCTA5 53104,(X),(X),(X),1.4,1.9,0.9,6.3,9.8,2.9,35.9,32.5,39.2,21.7,22.8,20.6,12.3,14.5,10.3,11.5,7.5,15.3,10.8,10.9,10.6,92.3,88.3,96.2,22.3,18.4,26.0
8600000US53105,53105,ZCTA5 53105,(X),(X),(X),1.7,2.3,1.1,5.5,6.9,4.1,38.6,38.7,38.4,21.6,22.9,20.5,10.1,8.8,11.3,14.3,12.0,16.5,8.3,8.4,8.1,92.8,90.7,94.8,22.6,20.4,24.7
8600000US53108,53108,ZCTA5 53108,(X),(X),(X),3.6,3.2,3.9,9.9,16.7,2.6,42.8,38.3,47.5,16.4,18.1,14.6,11.0,10.8,11.1,8.6,8.1,9.2,7.8,4.7,11.1,86.6,80.0,93.5,16.4,12.7,20.2
8600000US53110,53110,ZCTA5 53110,(X),(X),(X),2.5,1.9,3.1,8.5,8.7,8.3,35.4,35.4,35.4,24.1,25.8,22.5,8.1,7.0,9.2,16.6,15.8,17.4,4.7,5.4,4.1,89.0,89.4,88.6,21.3,21.1,21.6
8600000US53114,53114,ZCTA5 53114,(X),(X),(X),7.0,8.3,5.6,6.8,10.4,3.0,38.8,41.8,35.7,23.1,20.5,25.8,9.8,6.3,13.6,7.3,5.9,8.9,7.2,6.9,7.5,86.2,81.3,91.5,14.5,12.7,16.3
8600000US53115,53115,ZCTA5 53115,(X),(X),(X),6.4,6.7,6.2,8.6,10.5,6.8,32.9,32.0,33.7,22.7,21.4,23.9,10.6,10.4,10.8,12.8,12.9,12.7,6.0,6.0,5.9,84.9,82.8,87.1,18.8,18.9,18.7
8600000US53118,53118,ZCTA5 53118,(X),(X),(X),1.1,1.6,0.6,4.7,6.1,3.3,34.7,31.7,37.6,21.0,26.0,16.0,8.2,6.9,9.5,21.4,19.5,23.3,8.9,8.0,9.7,94.2,92.3,96.2,30.3,27.6,33.0
8600000US53119,53119,ZCTA5 53119,(X),(X),(X),0.6,1.1,0.2,1.7,2.7,0.7,34.5,35.9,33.1,26.1,24.9,27.3,10.5,11.3,9.7,19.0,18.8,19.2,7.7,5.3,9.9,97.7,96.2,99.1,26.7,24.1,29.0
8600000US53120,53120,ZCTA5 53120,(X),(X),(X),0.4,0.9,0.0,5.4,6.9,3.8,30.7,33.5,27.8,25.7,26.7,24.7,9.0,7.8,10.1,17.7,13.2,22.2,11.2,10.9,11.4,94.2,92.2,96.2,28.8,24.1,33.6
8600000US53121,53121,ZCTA5 53121,(X),(X),(X),2.7,4.1,1.4,5.4,7.0,3.9,29.8,30.0,29.7,24.5,21.7,27.2,9.6,8.5,10.7,18.4,18.0,18.7,9.5,10.7,8.5,91.9,88.9,94.8,27.9,28.7,27.2
8600000US53122,53122,ZCTA5 53122,(X),(X),(X),2.0,1.5,2.4,0.7,0.0,1.2,10.2,9.7,10.6,9.3,8.4,10.0,5.6,2.5,8.2,37.7,37.4,37.9,34.5,40.5,29.6,97.3,98.5,96.3,72.2,78.0,67.5
8600000US53125,53125,ZCTA5 53125,(X),(X),(X),1.0,1.2,0.8,2.3,2.8,1.8,16.4,13.2,19.3,15.4,12.7,17.8,8.1,6.6,9.5,35.5,38.8,32.5,21.3,24.7,18.3,96.7,96.0,97.4,56.8,63.5,50.8
8600000US53126,53126,ZCTA5 53126,(X),(X),(X),1.4,2.2,0.6,4.1,6.1,2.2,30.4,31.1,29.8,25.7,28.4,22.9,13.3,9.4,17.1,16.2,13.5,18.7,8.9,9.2,8.7,94.4,91.7,97.2,25.1,22.7,27.4
8600000US53128,53128,ZCTA5 53128,(X),(X),(X),1.7,1.4,2.0,7.1,7.6,6.6,40.5,44.4,36.7,20.7,18.6,22.6,10.5,8.5,12.4,13.5,11.4,15.4,6.1,8.0,4.2,91.2,91.0,91.4,19.5,19.4,19.7
8600000US53129,53129,ZCTA5 53129,(X),(X),(X),1.4,1.5,1.3,2.0,3.2,1.0,25.3,22.3,27.8,21.1,21.8,20.5,9.7,9.6,9.8,25.6,26.7,24.6,14.9,14.7,15.0,96.6,95.2,97.8,40.5,41.4,39.7
8600000US53130,53130,ZCTA5 53130,(X),(X),(X),1.6,0.9,2.2,3.7,4.5,3.1,27.7,26.3,28.8,19.2,24.4,14.9,8.5,5.9,10.8,25.1,24.3,25.9,14.0,13.9,14.2,94.7,94.7,94.6,39.2,38.1,40.1
8600000US53132,53132,ZCTA5 53132,(X),(X),(X),1.6,1.4,1.9,5.8,7.8,3.7,24.7,23.4,26.0,20.6,20.3,20.9,9.5,8.8,10.1,24.0,24.8,23.2,13.8,13.5,14.2,92.6,90.8,94.3,37.8,38.3,37.4
8600000US53137,53137,ZCTA5 53137,(X),(X),(X),1.1,1.3,0.8,5.5,3.2,7.8,34.9,41.5,28.2,27.5,29.6,25.3,9.9,7.0,12.9,16.0,12.7,19.4,5.1,4.7,5.6,93.4,95.5,91.3,21.1,17.4,25.0
8600000US53139,53139,ZCTA5 53139,(X),(X),(X),1.2,0.6,1.7,6.1,8.1,4.2,31.4,35.0,28.0,23.0,25.1,21.0,10.9,11.1,10.8,20.7,16.1,25.1,6.8,4.1,9.3,92.8,91.3,94.1,27.5,20.2,34.4
8600000US53140,53140,ZCTA5 53140,(X),(X),(X),5.2,5.0,5.4,8.6,10.0,7.3,34.6,39.6,29.9,25.1,22.3,27.7,8.8,6.4,11.1,11.2,10.9,11.5,6.4,5.8,7.0,86.2,85.0,87.3,17.7,16.7,18.5
8600000US53142,53142,ZCTA5 53142,(X),(X),(X),2.5,2.8,2.2,6.0,6.2,5.8,26.7,24.5,28.7,21.4,24.8,18.2,11.1,10.2,12.0,21.3,21.4,21.2,11.0,10.0,11.9,91.5,91.0,92.0,32.3,31.4,33.1
