zip,obese,bmi,pop,sex,age,pct_m_bach,pct_f_bach,households,income,urban,rural,population,p_urban
53218,NA,NA,4849,female,05-17,10.4,13.4,14029,37692,40625,0,40625,1
53219,NA,NA,2200,female,05-17,18.9,25.3,14963,52468,33880,0,33880,1
53220,NA,NA,1607,female,05-17,22.9,24.3,11557,48523,26303,0,26303,1
53221,NA,NA,3455,female,05-17,21.7,24.1,15883,50645,37701,0,37701,1
53222,NA,NA,2114,female,05-17,36,40.8,11372,52811,25165,0,25165,1
53223,50,233,2168,female,05-17,28.3,26.7,12623,45973,29230,0,29230,1
53224,NA,NA,2369,female,05-17,24,26.1,7743,46766,21284,0,21284,1
53225,NA,NA,2470,female,05-17,17.5,19.9,9706,42665,25706,0,25706,1
53226,16,151,1169,female,05-17,57.2,55.6,8271,71121,18370,0,18370,1
53227,NA,NA,1610,female,05-17,25,28.5,10976,48613,23357,0,23357,1
53228,NA,NA,967,female,05-17,30,31.5,6354,61839,14369,0,14369,1
53233,NA,NA,327,female,05-17,21.3,22.9,4497,14920,16453,0,16453,1
53235,NA,NA,355,female,05-17,28.6,30.8,4537,41719,9270,0,9270,1
53295,NA,NA,0,female,05-17,15.8,0,0,NA,359,0,359,1
53402,NA,NA,2894,female,05-17,28.8,27.8,13257,58134,31625,1549,33174,0.9533068065352385
53403,NA,NA,2431,female,05-17,19.4,20.6,10231,43411,27294,138,27432,0.9949693788276466
53404,NA,NA,1789,female,05-17,13,14.9,5484,35013,15658,0,15658,1
53405,NA,NA,2206,female,05-17,21.6,20.3,9815,52978,25193,0,25193,1
53406,NA,NA,2149,female,05-17,30.2,30.7,11050,64478,25056,789,25845,0.9694718514219385
53501,NA,NA,0,female,05-17,0,0,65,NA,0,23,23,0
53502,31,166,236,female,05-17,14.6,20,1003,51701,0,2421,2421,0
53503,11,51,173,female,05-17,16.2,23.4,811,55655,0,1947,1947,0
53504,20,112,182,female,05-17,14.2,20.9,818,51500,0,2084,2084,0
53505,NA,NA,42,female,05-17,7.4,28.1,169,62321,0,354,354,0
53506,NA,NA,68,female,05-17,10.6,16.1,437,42396,0,1125,1125,0
53507,13,125,200,female,05-17,27.9,31.9,858,81406,0,2196,2196,0
53508,66,369,500,female,05-17,29.2,34.3,2068,82778,0,5262,5262,0
53510,NA,NA,153,female,05-17,19.2,20.7,591,60302,0,1482,1482,0
53511,NA,NA,4766,female,05-17,14.8,18.3,18895,43055,43775,5154,48929,0.8946636963763821
53515,14,83,156,female,05-17,28.8,33.7,955,67454,1269,999,2268,0.5595238095238095
53516,19,118,228,female,05-17,22.4,32.9,927,66098,0,2152,2152,0
53517,15,128,164,female,05-17,33.1,33.5,704,76447,0,1752,1752,0
53518,NA,NA,91,female,05-17,12.9,21.9,599,47981,0,1330,1330,0
53520,72,385,460,female,05-17,17.7,17.4,2625,57227,3506,3304,6810,0.5148311306901615
53521,32,249,380,female,05-17,27.8,37.3,1464,85305,1424,2232,3656,0.38949671772428884
53522,17,71,77,female,05-17,10.9,21.3,434,55952,0,1085,1085,0
53523,20,170,271,female,05-17,30.4,37.1,2033,78705,2577,2372,4949,0.5207112547989493
53525,11,38,371,female,05-17,14.9,23.1,1485,65718,0,4052,4052,0
53526,NA,NA,51,female,05-17,18.6,23.1,253,52589,0,565,565,0
53527,92,738,1185,female,05-17,39.3,38.8,3795,92882,6987,2976,9963,0.701294790725685
53528,32,403,510,female,05-17,35.6,39.4,2335,86301,3575,2159,5734,0.6234740146494594
53529,NA,NA,143,female,05-17,19.2,27.2,801,80625,0,2031,2031,0
53530,24,106,421,female,05-17,15,19.8,1820,54375,0,4566,4566,0
53531,39,259,369,female,05-17,25,36.4,1679,79421,0,4338,4338,0
53532,96,966,1519,female,05-17,38,34.8,5490,78401,10795,2811,13606,0.7933999706012054
53533,39,242,649,female,05-17,20.6,26,2959,62128,4756,2520,7276,0.6536558548653106
53534,86,442,843,female,05-17,16.3,26.1,4900,65915,7208,4304,11512,0.626129256428075
53536,71,517,821,female,05-17,24.6,26.3,3449,65262,5669,2834,8503,0.666705868516994
53537,NA,NA,23,female,05-17,2.4,22.4,292,48917,0,781,781,0
53538,81,414,1395,female,05-17,19,25.9,7513,55340,13192,5276,18468,0.7143166558371237
53540,NA,NA,16,female,05-17,8.2,16.9,116,36364,0,169,169,0
53541,10,45,52,female,05-17,10.2,17.6,368,63833,0,861,861,0
53543,NA,NA,168,female,05-17,16.4,20.7,724,53750,0,1641,1641,0
53544,NA,NA,31,female,05-17,18.5,28.8,291,67813,0,800,800,0
53545,94,542,1816,female,05-17,24.7,24,9796,49359,21212,1905,23117,0.9175931132932474
53546,130,709,2845,female,05-17,20.4,22.9,12500,62500,27892,2756,30648,0.9100756982511093
53548,99,437,1405,female,05-17,17,21.3,7569,50724,15136,3422,18558,0.8156051298631318
53549,23,153,769,female,05-17,21.4,18.1,4079,54603,7913,2501,10414,0.7598425196850394
53550,18,90,103,female,05-17,4.5,12.6,414,60000,0,1239,1239,0
53551,34,192,987,female,05-17,35.3,36.7,3405,69227,6581,1692,8273,0.7954792699141786
53553,NA,NA,26,female,05-17,5,11.1,220,42500,0,624,624,0
53554,NA,NA,149,female,05-17,15.5,20.5,414,54500,0,1134,1134,0
53555,39,260,866,female,05-17,30.6,34.2,3512,73913,3014,5451,8465,0.35605434140578857
53556,NA,NA,162,female,05-17,9.8,14.1,1138,48125,0,2594,2594,0
53557,NA,NA,34,female,05-17,13,11.1,156,47188,0,482,482,0
53558,65,741,965,female,05-17,42.1,50.2,4638,90333,9935,807,10742,0.9248743250791287
53559,43,330,605,female,05-17,14.2,21.1,2229,71498,3834,2229,6063,0.632360217714003
53560,18,130,324,female,05-17,26.1,30.3,1496,67357,1687,1771,3458,0.48785425101214575
53561,NA,NA,62,female,05-17,25.6,26.7,800,73194,0,1618,1618,0
53562,149,1739,2211,female,05-17,60.8,60.6,10978,79240,21718,1909,23627,0.9192026071866932
53563,55,286,866,female,05-17,25.3,31.7,4314,69955,6766,3962,10728,0.6306860551826995
53565,NA,NA,523,female,05-17,23.6,28.7,2058,57798,0,4765,4765,0
53566,228,1175,1274,female,05-17,21,22.7,6492,50778,10883,4334,15217,0.7151869619504502
53569,NA,NA,90,female,05-17,21.2,20.3,488,56500,0,1155,1155,0
53570,35,184,260,female,05-17,16.7,21.3,1126,64904,0,2627,2627,0
53571,NA,NA,20,female,05-17,37.7,48.8,98,98929,0,280,280,0
53572,87,702,1005,female,05-17,45.3,40.5,4089,74087,6997,2973,9970,0.7018054162487463
53573,19,69,255,female,05-17,12,15.2,1291,46250,0,3062,3062,0
53574,29,293,384,female,05-17,33.9,36.2,1499,74181,0,3877,3877,0
53575,107,1094,1761,female,05-17,37.7,43.4,5907,92274,9635,5859,15494,0.6218536207564218
53576,15,69,228,female,05-17,14.7,26.9,904,59565,0,2319,2319,0
53577,NA,NA,102,female,05-17,16.6,21,581,62266,0,1371,1371,0
53578,15,137,521,female,05-17,33.7,33,2570,67034,3972,1952,5924,0.6704929101958136
53579,NA,NA,150,female,05-17,9.7,11,714,56250,0,1760,1760,0
53580,NA,NA,53,female,05-17,20.1,21,209,56875,0,564,564,0
53581,21,125,821,female,05-17,18.2,22.7,4438,47500,5021,5678,10699,0.46929619590615945
53582,10,40,86,female,05-17,15,21.5,465,57750,0,1079,1079,0
53583,20,128,440,female,05-17,22,24.4,2301,70152,3761,1986,5747,0.6544283974247433
53585,NA,NA,186,female,05-17,10.3,14.6,883,50365,0,2215,2215,0
53586,15,57,155,female,05-17,13.1,19.5,920,53750,0,2284,2284,0
