airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0..15,all_n_16..30,all_n_31..45,all_n_46..60,all_n_61..90,all_n_91..120,all_n_120..,all_excluded,all_total,all_flights,all_booths
ORD,Terminal 5,10/29/2018,0700 - 0800,8,24,11,43,10,43,420,110,9,0,0,0,0,21,560,3,9
ORD,Terminal 5,10/29/2018,0800 - 0900,11,32,10,33,10,33,120,37,9,0,0,0,0,6,172,1,7
ORD,Terminal 5,10/29/2018,0900 - 1000,9,23,9,23,9,23,178,33,0,0,0,0,0,12,223,1,9
ORD,Terminal 5,10/29/2018,1000 - 1100,6,17,6,14,6,17,75,1,0,0,0,0,0,3,79,2,8
ORD,Terminal 5,10/29/2018,1100 - 1200,5,23,8,28,6,28,424,46,0,0,0,0,0,14,484,2,9
ORD,Terminal 5,10/29/2018,1200 - 1300,9,50,17,50,13,50,692,227,85,15,0,0,0,32,1051,6,21
ORD,Terminal 5,10/29/2018,1300 - 1400,9,57,11,65,10,65,790,178,8,6,3,0,0,39,1024,5,17
ORD,Terminal 5,10/29/2018,1400 - 1500,11,68,20,78,14,78,1576,580,158,88,15,0,0,69,2486,12,22
ORD,Terminal 5,10/29/2018,1500 - 1600,14,59,22,60,17,60,1039,450,282,106,0,0,0,79,1956,8,21
ORD,Terminal 5,10/29/2018,1600 - 1700,10,53,15,55,11,55,886,261,23,21,0,0,0,32,1223,7,22
ORD,Terminal 5,10/29/2018,1700 - 1800,8,23,8,23,8,23,639,52,0,0,0,0,0,27,718,4,19
ORD,Terminal 5,10/29/2018,1800 - 1900,6,22,7,22,6,22,1006,82,0,0,0,0,0,32,1120,7,24
ORD,Terminal 5,10/29/2018,1900 - 2000,7,21,7,19,7,21,684,67,0,0,0,0,0,20,771,4,17
ORD,Terminal 5,10/29/2018,2000 - 2100,12,29,14,28,13,29,156,96,0,0,0,0,0,7,259,1,15
