zip,urban,rural,population,p_urban
53716,18419,0,18419,1
53717,11962,0,11962,1
53718,11078,675,11753,0.9425678550157407
53719,28462,25,28487,0.9991224067118335
53726,5177,0,5177,1
53792,0,0,0,NaN
53801,0,878,878,0
53802,0,58,58,0
53803,0,1306,1306,0
53804,0,1372,1372,0
53805,3261,2008,5269,0.618903017650408
53806,0,1831,1831,0
53807,0,4843,4843,0
53808,0,1049,1049,0
53809,0,4120,4120,0
53810,0,429,429,0
53811,0,3371,3371,0
53813,3688,2387,6075,0.6070781893004116
53816,0,810,810,0
53817,0,205,205,0
53818,11236,3855,15091,0.7445497316281228
53820,0,2532,2532,0
53821,6255,2201,8456,0.7397114474929044
53825,0,487,487,0
53826,0,1332,1332,0
53827,0,292,292,0
53901,10146,4299,14445,0.7023883696780893
53910,0,3508,3508,0
53911,0,1351,1351,0
53913,14890,4991,19881,0.748956289925054
53916,17833,4674,22507,0.7923312747145332
53919,0,2629,2629,0
53920,0,414,414,0
53922,0,1036,1036,0
53923,0,2098,2098,0
53924,0,1360,1360,0
53925,4920,2861,7781,0.6323094717902583
53926,0,1628,1628,0
53928,0,128,128,0
53929,0,2782,2782,0
53930,0,1285,1285,0
53931,0,237,237,0
53932,1703,870,2573,0.6618732996502138
53933,0,4117,4117,0
53934,0,4396,4396,0
53935,0,307,307,0
53936,0,1610,1610,0
53937,0,1053,1053,0
53939,0,244,244,0
53941,0,2932,2932,0
53943,0,1065,1065,0
53944,0,2224,2224,0
53946,0,4386,4386,0
53947,0,137,137,0
53948,4401,4013,8414,0.5230568100784407
53949,0,6011,6011,0
53950,0,5449,5449,0
53951,0,2601,2601,0
53952,0,4377,4377,0
53953,0,282,282,0
53954,245,6681,6926,0.03537395321975166
53955,0,5692,5692,0
53956,0,3397,3397,0
53959,9190,4194,13384,0.6866407650926479
53960,0,3268,3268,0
53961,0,837,837,0
53963,11373,2537,13910,0.8176132278936017
53964,0,3604,3604,0
53965,4342,6056,10398,0.41758030390459705
53968,0,2329,2329,0
53969,0,419,419,0
54001,2832,5323,8155,0.34727161250766403
54002,3977,2301,6278,0.6334820006371455
54003,0,1013,1013,0
54004,0,2317,2317,0
54005,0,3056,3056,0
54006,0,743,743,0
54007,0,1188,1188,0
54009,705,1804,2509,0.28098844161020325
54010,50,0,50,1
54011,2773,4046,6819,0.40665786772254
54013,0,3475,3475,0
54014,0,2232,2232,0
54015,1854,1732,3586,0.517010596765198
54016,19201,10907,30108,0.6377374784110535
54017,8275,8468,16743,0.49423639730036434
54020,2888,4372,7260,0.3977961432506887
54021,4152,2470,6622,0.6270009060706735
54022,15351,7007,22358,0.6865998747651847
54023,0,3833,3833,0
54024,0,4811,4811,0
54025,2604,4260,6864,0.3793706293706294
54026,0,1809,1809,0
54027,0,989,989,0
54028,0,2493,2493,0
54082,276,1420,1696,0.16273584905660377
54101,0,2751,2751,0
54102,0,875,875,0
54103,0,418,418,0
54104,0,1051,1051,0
54106,0,4997,4997,0
54107,78,3649,3727,0.02092836061175208
54110,2968,2370,5338,0.5560134881978269
54111,515,1617,2132,0.24155722326454035
54112,0,2284,2284,0
54113,3325,0,3325,1
54114,0,5178,5178,0
54115,31938,9240,41178,0.7756083345475739
54119,0,1083,1083,0
