zip,obese,bmi,pop,sex,age
53939,NA,NA,23,female,05-17
53941,12,32,242,female,05-17
53943,NA,NA,81,female,05-17
53944,NA,NA,163,female,05-17
53946,NA,NA,398,female,05-17
53947,NA,NA,6,female,05-17
53948,18,99,588,female,05-17
53949,18,81,338,female,05-17
53950,10,59,313,female,05-17
53951,NA,NA,208,female,05-17
53952,NA,NA,212,female,05-17
53953,NA,NA,24,female,05-17
53954,48,222,597,female,05-17
53955,42,272,428,female,05-17
53956,10,91,257,female,05-17
53959,38,195,1206,female,05-17
53960,20,127,272,female,05-17
53961,NA,NA,80,female,05-17
53963,NA,NA,1029,female,05-17
53964,16,61,351,female,05-17
53965,59,292,704,female,05-17
53968,11,32,187,female,05-17
53969,NA,NA,13,female,05-17
54001,NA,NA,556,female,05-17
54002,NA,NA,544,female,05-17
54003,NA,NA,85,female,05-17
54004,NA,NA,256,female,05-17
54005,NA,NA,238,female,05-17
54006,NA,NA,99,female,05-17
54007,NA,NA,94,female,05-17
54009,NA,NA,217,female,05-17
54010,NA,NA,0,female,05-17
54011,NA,NA,529,female,05-17
54013,NA,NA,321,female,05-17
54014,NA,NA,170,female,05-17
54015,NA,NA,393,female,05-17
54016,NA,NA,2947,female,05-17
54017,NA,NA,1774,female,05-17
54020,NA,NA,763,female,05-17
54021,NA,NA,560,female,05-17
54022,NA,NA,1585,female,05-17
54023,NA,NA,447,female,05-17
54024,NA,NA,364,female,05-17
54025,NA,NA,854,female,05-17
54026,NA,NA,139,female,05-17
54027,NA,NA,90,female,05-17
54028,NA,NA,250,female,05-17
54082,NA,NA,120,female,05-17
54101,12,124,273,female,05-17
54102,NA,NA,50,female,05-17
54103,NA,NA,27,female,05-17
54104,NA,NA,41,female,05-17
54106,25,177,426,female,05-17
54107,NA,NA,367,female,05-17
54110,14,114,471,female,05-17
54111,NA,NA,98,female,05-17
54112,10,74,181,female,05-17
54113,18,196,439,female,05-17
54114,12,55,334,female,05-17
54115,171,1505,3909,female,05-17
54119,NA,NA,54,female,05-17
54120,NA,NA,2,female,05-17
54121,NA,NA,190,female,05-17
54123,NA,NA,29,female,05-17
54124,35,142,242,female,05-17
54125,NA,NA,14,female,05-17
54126,14,112,367,female,05-17
54127,NA,NA,0,female,05-17
54128,NA,NA,99,female,05-17
54129,13,86,179,female,05-17
54130,120,952,2104,female,05-17
54135,NA,NA,360,female,05-17
54136,27,268,553,female,05-17
54137,11,57,78,female,05-17
54138,NA,NA,14,female,05-17
54139,39,159,263,female,05-17
54140,44,315,836,female,05-17
54141,18,95,276,female,05-17
54143,NA,NA,1052,female,05-17
54149,NA,NA,45,female,05-17
54150,NA,NA,141,female,05-17
54151,NA,NA,324,female,05-17
54153,38,244,538,female,05-17
54154,66,301,355,female,05-17
