Rank,Team,S,W-L,Digs,Per Set
56,Niagara (MAAC),105,13-16,"1,712",16.30
57,Morehead St. (OVC),115,23-9,"1,872",16.28
58,La Salle (Atlantic 10),105,15-13,"1,708",16.27
59,Towson (CAA),103,28-2,"1,669",16.20
60,UNC Asheville (Big South),90,13-13,"1,454",16.16
61,Bucknell (Patriot),102,14-14,"1,645",16.13
62,Oklahoma (Big 12),108,19-8,"1,739",16.10
63,Ohio (MAC),119,18-13,"1,913",16.08
64,Tulane (AAC),123,21-10,"1,976",16.07
65,Quinnipiac (MAAC),114,14-16,"1,829",16.04
66,Austin Peay (OVC),118,11-20,"1,890",16.02
67,Sacred Heart (NEC),117,20-11,"1,873",16.01
68,St. Francis Brooklyn (NEC),119,14-17,"1,904",16.00
69,Youngstown St. (Horizon),101,8-21,"1,613",15.97
70,Temple (AAC),92,12-15,"1,469",15.97
71,Murray St. (OVC),114,19-11,"1,819",15.96
72,Saint Peter's (MAAC),109,3-27,"1,739",15.95
73,Duquesne (Atlantic 10),94,10-17,"1,498",15.94
74,Oral Roberts (Summit League),123,8-23,"1,959",15.93
75,Rider (MAAC),115,15-16,"1,825",15.87
76,San Francisco (WCC),108,8-21,"1,712",15.85
77,Arizona St. (Pac-12),124,17-14,"1,963",15.83
78,Butler (Big East),115,14-16,"1,819",15.82
79,La.-Monroe (Sun Belt),112,12-20,"1,770",15.80
80,UCF (AAC),114,24-7,"1,793",15.73
81,Saint Louis (Atlantic 10),112,17-12,"1,760",15.71
82,Georgia St. (Sun Belt),105,10-17,"1,645",15.67
83,East Carolina (AAC),113,19-11,"1,770",15.66
84,Purdue Fort Wayne (Summit League),124,18-14,"1,942",15.66
85,Sacramento St. (Big Sky),130,14-18,"2,035",15.65
86,A&M-Corpus Christi (Southland),117,19-12,"1,830",15.64
87,High Point (Big South),114,20-12,"1,778",15.60
88,Nevada (Mountain West),114,17-13,"1,774",15.56
89,Grand Canyon (WAC),116,24-6,"1,805",15.56
90,FGCU (ASUN),108,27-5,"1,680",15.56
91,Montana St. (Big Sky),112,15-14,"1,742",15.55
92,Xavier (Big East),99,10-17,"1,538",15.54
93,North Dakota St. (Summit League),112,13-16,"1,738",15.52
94,Ohio St. (Big Ten),114,15-17,"1,769",15.52
95,Arkansas St. (Sun Belt),116,17-13,"1,799",15.51
96,Dartmouth (Ivy League),89,10-15,"1,379",15.49
97,Presbyterian (Big South),103,15-15,"1,595",15.49
98,Creighton (Big East),99,24-5,"1,533",15.48
99,Ole Miss (SEC),117,14-15,"1,811",15.48
100,Eastern Wash. (Big Sky),113,6-24,"1,749",15.48
101,Iowa St. (Big 12),104,17-11,"1,608",15.46
102,Col. of Charleston (CAA),102,7-21,"1,577",15.46
103,Marshall (C-USA),101,18-10,"1,561",15.46
104,Western Mich. (MAC),112,14-14,"1,729",15.44
105,Tennessee Tech (OVC),112,13-17,"1,728",15.43
106,Marquette (Big East),115,27-5,"1,773",15.42
107,Toledo (MAC),108,9-19,"1,664",15.41
108,Notre Dame (ACC),112,19-9,"1,725",15.40
109,Furman (SoCon),109,7-20,"1,676",15.38
110,Cornell (Ivy League),86,17-6,"1,320",15.35
111,Kennesaw St. (ASUN),112,22-8,"1,719",15.35
