Rank,Team,S,W-L,Kills,Per Set
118,Memphis (AAC),110,17-11,"1,417",12.88
119,Pacific (WCC),120,13-17,"1,545",12.88
120,Akron (MAC),103,16-12,"1,325",12.86
121,Oklahoma (Big 12),108,19-8,"1,389",12.86
122,Delaware (CAA),104,15-14,"1,336",12.85
123,West Virginia (Big 12),108,12-17,"1,387",12.84
124,Wyoming (Mountain West),111,21-8,"1,425",12.84
125,Grand Canyon (WAC),116,24-6,"1,489",12.84
126,Saint Louis (Atlantic 10),112,17-12,"1,435",12.81
127,UC Davis (Big West),108,17-12,"1,383",12.81
128,Appalachian St. (Sun Belt),116,13-17,"1,485",12.80
129,Denver (Summit League),114,23-8,"1,459",12.80
130,Tulane (AAC),123,21-10,"1,573",12.79
131,Southern Utah (Big Sky),116,15-16,"1,482",12.78
132,Bowling Green (MAC),120,19-12,"1,533",12.78
133,Bryant (NEC),113,15-17,"1,442",12.76
134,Western Mich. (MAC),112,14-14,"1,427",12.74
135,North Carolina (ACC),107,15-13,"1,363",12.74
136,Oakland (Horizon),108,15-14,"1,375",12.73
137,New Orleans (Southland),111,13-18,"1,413",12.73
138,San Jose St. (Mountain West),107,10-19,"1,362",12.73
139,Western Caro. (SoCon),113,17-13,"1,438",12.73
140,Bradley (MVC),119,15-15,"1,512",12.71
141,Montana St. (Big Sky),112,15-14,"1,423",12.71
142,Purdue Fort Wayne (Summit League),124,18-14,"1,575",12.70
143,Arkansas St. (Sun Belt),116,17-13,"1,473",12.70
144,Marshall (C-USA),101,18-10,"1,282",12.69
145,Marist (MAAC),115,15-15,"1,459",12.69
146,High Point (Big South),114,20-12,"1,446",12.68
147,Syracuse (ACC),91,11-13,"1,154",12.68
148,FIU (C-USA),103,10-16,"1,306",12.68
149,Houston Baptist (Southland),118,17-15,"1,494",12.66
150,Louisville (ACC),105,19-9,"1,326",12.63
151,Central Conn. St. (NEC),117,15-15,"1,477",12.62
152,Santa Clara (WCC),115,20-11,"1,451",12.62
153,Clemson (ACC),104,11-17,"1,312",12.62
154,Tennessee Tech (OVC),112,13-17,"1,412",12.61
155,South Alabama (Sun Belt),119,20-11,"1,500",12.61
156,Campbell (Big South),108,17-13,"1,361",12.60
157,Northern Ariz. (Big Sky),124,21-11,"1,562",12.60
158,Southeastern La. (Southland),118,14-17,"1,486",12.59
159,James Madison (CAA),93,20-8,"1,171",12.59
160,Iowa (Big Ten),115,10-21,"1,447",12.58
161,Mercer (SoCon),114,14-16,"1,433",12.57
162,Boise St. (Mountain West),107,18-11,"1,344",12.56
163,Northwestern (Big Ten),118,14-18,"1,482",12.56
164,Florida St. (ACC),100,19-9,"1,255",12.55
165,Nevada (Mountain West),114,17-13,"1,430",12.54
166,Temple (AAC),92,12-15,"1,154",12.54
167,Austin Peay (OVC),118,11-20,"1,479",12.53
168,Brown (Ivy League),87,13-10,"1,090",12.53
169,Morgan St. (MEAC),114,17-13,"1,427",12.52
170,Oregon St. (Pac-12),122,9-22,"1,527",12.52
171,Penn (Ivy League),82,11-10,"1,026",12.51
172,UC Riverside (Big West),101,6-22,"1,263",12.50
173,UAB (C-USA),98,12-15,"1,225",12.50
174,Arizona St. (Pac-12),124,17-14,"1,548",12.48
175,Presbyterian (Big South),103,15-15,"1,285",12.48
176,Howard (MEAC),118,20-12,"1,472",12.47
177,Buffalo (MAC),119,13-17,"1,484",12.47
177,Cal Poly (Big West),102,20-8,"1,272",12.47
179,Rider (MAAC),115,15-16,"1,434",12.47
180,SIUE (OVC),112,14-15,"1,396",12.46
181,Nicholls St. (Southland),106,11-16,"1,321",12.46
182,Sacramento St. (Big Sky),130,14-18,"1,619",12.45
183,Fresno St. (Mountain West),104,14-16,"1,295",12.45
184,Virginia (ACC),107,13-18,"1,332",12.45
185,NC State (ACC),123,11-19,"1,530",12.44
186,TCU (Big 12),93,9-17,"1,154",12.41
187,Siena (MAAC),111,11-18,"1,376",12.40
188,Bucknell (Patriot),102,14-14,"1,263",12.38
189,Quinnipiac (MAAC),114,14-16,"1,411",12.38
190,UT Martin (OVC),118,13-19,"1,460",12.37
191,North Dakota St. (Summit League),112,13-16,"1,384",12.36
192,Louisiana (Sun Belt),110,14-16,"1,359",12.35
193,Eastern Ky. (OVC),99,9-21,"1,223",12.35
194,LSU (SEC),102,15-13,"1,260",12.35
195,Stetson (ASUN),103,12-15,"1,268",12.31
196,Kansas St. (Big 12),113,9-19,"1,391",12.31
197,CSUN (Big West),108,12-16,"1,329",12.31
198,Cleveland St. (Horizon),108,8-19,"1,328",12.30
199,N.C. A&T (MEAC),112,16-14,"1,377",12.29
200,Wofford (SoCon),116,15-16,"1,425",12.28
201,Missouri St. (MVC),125,10-22,"1,534",12.27
202,Elon (CAA),129,14-18,"1,583",12.27
203,Southeast Mo. St. (OVC),126,23-10,"1,539",12.21
204,Lamar University (Southland),94,9-17,"1,148",12.21
205,Colorado (Pac-12),106,13-17,"1,293",12.20
206,Middle Tenn. (C-USA),117,13-17,"1,425",12.18
207,Louisiana Tech (C-USA),103,13-15,"1,254",12.17
208,Prairie View (SWAC),136,17-21,"1,655",12.17
209,Arkansas (SEC),113,11-19,"1,374",12.16
