zip,obese_female_05-17,obese_female_18-34,obese_female_35-54,obese_female_55-74,obese_female_75-plus,obese_male_05-17,obese_male_18-34,obese_male_35-54,obese_male_55-74,obese_male_75-plus,bmi_female_05-17,bmi_female_18-34,bmi_female_35-54,bmi_female_55-74,bmi_female_75-plus,bmi_male_05-17,bmi_male_18-34,bmi_male_35-54,bmi_male_55-74,bmi_male_75-plus,pop_female_05-17,pop_female_18-34,pop_female_35-54,pop_female_55-74,pop_female_75-plus,pop_male_05-17,pop_male_18-34,pop_male_35-54,pop_male_55-74,pop_male_75-plus,pct_m_bach,pct_f_bach,households,income,urban,rural,population,p_urban
53104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,440,860,626,205,401,652,698,654,131,18.4,26,2200,71462,1967,3459,5426,0.36251382233689644
53105,NA,79,NA,164,33,NA,NA,NA,179,39,NA,251,NA,426,130,NA,NA,NA,379,106,2518,2214,4129,3404,1108,2524,3009,4198,3239,938,20.4,24.7,11381,66699,16288,12937,29225,0.5573310521813516
53108,NA,NA,22,31,NA,NA,NA,NA,23,NA,NA,NA,49,62,NA,NA,NA,NA,64,NA,210,198,441,356,175,220,278,453,385,177,12.7,20.2,1291,68673,433,2896,3329,0.1300690898167618
53110,NA,92,182,160,35,NA,NA,142,125,26,NA,231,348,308,92,NA,NA,255,254,63,1388,1541,2733,2070,740,1539,1982,2428,2108,564,21.1,21.6,7572,49882,18320,0,18320,1
53114,NA,43,94,89,18,NA,31,75,75,NA,NA,105,184,176,40,NA,74,141,141,NA,259,356,401,271,68,246,358,424,315,52,12.7,16.3,980,63190,1552,1126,2678,0.5795369678864825
53115,NA,238,434,449,124,NA,156,349,416,97,NA,661,935,1006,404,NA,480,693,874,284,1215,1593,2004,1798,742,1350,1766,2093,1668,452,18.9,18.7,6318,53868,10647,5141,15788,0.6743729414745376
53118,NA,14,NA,41,NA,NA,NA,NA,56,17,NA,58,NA,119,NA,NA,NA,NA,144,39,471,510,1108,1018,384,676,479,1090,1074,270,27.6,33,2863,79577,3058,4144,7202,0.4246042765898362
53119,NA,NA,NA,37,NA,NA,NA,NA,51,NA,NA,NA,NA,83,NA,NA,NA,NA,100,NA,573,506,867,598,119,567,380,867,597,126,24.1,29,2040,87553,2790,2818,5608,0.4975035663338088
53120,NA,37,61,70,14,NA,NA,NA,78,13,NA,109,140,171,54,NA,NA,NA,167,38,830,934,1358,1194,366,808,959,1332,1224,372,24.1,33.6,3926,66815,5479,4200,9679,0.5660708750904019
53121,NA,176,387,348,100,NA,117,309,341,88,NA,558,830,808,290,NA,393,679,736,226,1996,1876,2781,2155,585,1720,1916,2848,2009,417,28.7,27.2,7407,65065,12484,6561,19045,0.6555001312680494
53122,NA,17,60,85,71,NA,15,59,140,44,NA,189,297,431,313,NA,107,184,346,206,642,331,859,787,476,651,327,815,751,191,78,67.5,2307,113750,5985,0,5985,1
53125,NA,NA,21,48,11,NA,NA,26,61,22,NA,NA,84,188,78,NA,NA,61,154,76,54,120,155,353,124,122,71,139,343,95,63.5,50.8,852,78971,1341,554,1895,0.7076517150395778
53126,NA,NA,NA,55,NA,NA,NA,NA,46,NA,NA,NA,NA,130,NA,NA,NA,NA,118,NA,558,639,1143,836,180,689,652,990,1009,142,22.7,27.4,2701,77393,1529,4902,6431,0.2377546260301664
53128,NA,50,116,81,15,NA,47,94,73,12,NA,211,283,180,47,NA,148,220,150,32,660,889,1464,832,158,1009,971,1398,854,147,19.4,19.7,3117,56057,7587,1360,8947,0.8479937409187437
53129,NA,63,130,186,91,NA,NA,111,143,51,NA,242,362,473,313,NA,NA,253,333,233,1183,1438,1649,2058,918,1149,1313,1463,1662,599,41.4,39.7,5939,64622,13973,0,13973,1
53130,12,45,98,100,41,NA,29,77,70,24,50,177,224,243,137,NA,105,153,189,75,469,712,1074,1119,474,586,788,934,893,278,38.1,40.1,3182,71393,7755,0,7755,1
53132,NA,96,259,367,79,NA,NA,NA,279,72,NA,427,707,818,290,NA,NA,NA,638,225,2742,2770,5207,4164,1529,2921,4033,5423,3821,994,38.3,37.4,13358,76548,33334,1529,34863,0.9561426153802025
53137,NA,NA,19,30,NA,NA,NA,18,43,NA,NA,NA,37,66,NA,NA,NA,38,66,NA,90,214,191,196,39,138,121,316,195,36,17.4,25,621,75893,0,1702,1702,0
53139,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,220,269,457,373,97,175,374,430,386,67,20.2,34.4,1069,78831,1066,1736,2802,0.3804425410421128
53140,NA,NA,NA,NA,38,NA,NA,NA,NA,20,NA,NA,NA,NA,115,NA,NA,NA,NA,73,2524,4329,3358,2939,1142,2701,4258,3939,2651,506,16.7,18.5,11567,38486,29753,264,30017,0.9912049838424892
53142,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,3114,3107,4751,3186,1100,3241,3131,4961,2629,699,31.4,33.1,12036,66607,31696,679,32375,0.979027027027027
53143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2336,2971,3297,2121,887,2599,2673,3008,2180,512,17.2,19.7,9024,45286,23264,0,23264,1
53144,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,2263,3534,3884,2392,838,2395,3646,3669,2080,515,27.4,25.3,9778,55414,24381,2875,27256,0.8945186380980334
53146,NA,25,71,92,19,NA,NA,65,82,20,NA,114,206,230,78,NA,NA,148,180,74,573,527,1240,1037,327,611,662,1160,1199,219,30.8,34.8,3095,83586,5313,2145,7458,0.7123893805309734
53147,NA,108,234,279,81,NA,81,219,277,70,NA,423,615,824,307,NA,291,498,695,245,1667,1350,2106,2100,846,1312,1708,2056,2023,517,34.3,31.8,6953,60943,12120,4337,16457,0.7364647262563043
53149,NA,38,NA,119,19,NA,NA,NA,125,13,NA,178,NA,286,65,NA,NA,NA,250,60,1863,1517,2966,2359,498,1824,1343,3043,2383,459,31.5,33.4,7428,86899,14070,4987,19057,0.73831138164454
